DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2004,75.4,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2005,73.7,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2006,73.7,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2007,79.8,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2008,63.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2009,62.3,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2010,61.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2011,70.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2012,73.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2013,65.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2014,64.9,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2015,59.8,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2016,60.2,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2017,63.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2018,56.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2019,63.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2020,62.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2021,60.5,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2022,65.5,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Austria,2023,64.9,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bosnia and Herzegovina,2021,78.1,b,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bosnia and Herzegovina,2022,78.0,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Bosnia and Herzegovina,2023,80.1,,
ESTAT:ISOC_SKI_ITAGE(1.0),22/10/24 23:00:00,Annual,Percentage,From 15 to 34 years,Belgium,2004,74.6,,
