STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SKI_ITEDU(1.0),Employed persons with ICT education by educational attainment level,A,Annual,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",AT,Austria,2004,,100.0,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITEDU(1.0),Employed persons with ICT education by educational attainment level,A,Annual,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",AT,Austria,2005,,100.0,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITEDU(1.0),Employed persons with ICT education by educational attainment level,A,Annual,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",AT,Austria,2006,,100.0,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITEDU(1.0),Employed persons with ICT education by educational attainment level,A,Annual,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",AT,Austria,2007,,100.0,,b,break in time series,,
dataflow,ESTAT:ISOC_SKI_ITEDU(1.0),Employed persons with ICT education by educational attainment level,A,Annual,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",AT,Austria,2008,,100.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITEDU(1.0),Employed persons with ICT education by educational attainment level,A,Annual,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",AT,Austria,2009,,100.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITEDU(1.0),Employed persons with ICT education by educational attainment level,A,Annual,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",AT,Austria,2010,,100.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITEDU(1.0),Employed persons with ICT education by educational attainment level,A,Annual,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",AT,Austria,2011,,100.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITEDU(1.0),Employed persons with ICT education by educational attainment level,A,Annual,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",AT,Austria,2012,,100.0,,,,,
dataflow,ESTAT:ISOC_SKI_ITEDU(1.0),Employed persons with ICT education by educational attainment level,A,Annual,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",AT,Austria,2013,,100.0,,,,,
