STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2004,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2005,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2006,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2007,,20.1,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2008,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2009,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2010,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2011,,16.7,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2012,,16.1,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2013,,,,u,low reliability,,
dataflow,ESTAT:ISOC_SKI_ITSEX(1.0),Employed persons with ICT education by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2014,,,,bu,"break in time series, low reliability",,
