time_period,geo,ind_type,indic_is,obs_value
2023,Albania,All individuals,Individuals with above basic overall digital skills,7.77
2023,Albania,All individuals,Individuals with basic overall digital skills,15.55
2023,Albania,All individuals,Individuals with low overall digital skills,23.32
2023,Albania,All individuals,Individuals with basic or above basic overall digital skills,19.07
2023,Albania,All individuals,Individuals with no overall digital skills,9.64
2023,Albania,"Individuals, 16 to 19 years old",Individuals with above basic overall digital skills,18.69
2023,Albania,"Individuals, 16 to 19 years old",Individuals with basic overall digital skills,33.36
2023,Albania,"Individuals, 16 to 19 years old",Individuals with low overall digital skills,52.05
2023,Albania,"Individuals, 16 to 19 years old",Individuals with basic or above basic overall digital skills,36.65
2023,Albania,"Individuals, 16 to 19 years old",Individuals with no overall digital skills,0.21
2023,Albania,"Individuals, 16 to 24 years old",Individuals with above basic overall digital skills,19.08
2023,Albania,"Individuals, 16 to 24 years old",Individuals with basic overall digital skills,31.7
2023,Albania,"Individuals, 16 to 24 years old",Individuals with low overall digital skills,50.78
2023,Albania,"Individuals, 16 to 24 years old",Individuals with basic or above basic overall digital skills,37.58
2023,Albania,"Individuals, 16 to 24 years old",Individuals with no overall digital skills,0.17
2023,Albania,"Individuals, 16 to 29 years old",Individuals with above basic overall digital skills,18.27
2023,Albania,"Individuals, 16 to 29 years old",Individuals with basic overall digital skills,30.78
2023,Albania,"Individuals, 16 to 29 years old",Individuals with low overall digital skills,49.04
2023,Albania,"Individuals, 16 to 29 years old",Individuals with basic or above basic overall digital skills,33.87
2023,Albania,"Individuals, 16 to 29 years old",Individuals with no overall digital skills,1.17
2023,Albania,"Individuals, 20 to 24 years old",Individuals with above basic overall digital skills,19.43
2023,Albania,"Individuals, 20 to 24 years old",Individuals with basic overall digital skills,30.24
2023,Albania,"Individuals, 20 to 24 years old",Individuals with low overall digital skills,49.66
2023,Albania,"Individuals, 20 to 24 years old",Individuals with basic or above basic overall digital skills,38.4
2023,Albania,"Individuals, 20 to 24 years old",Individuals with no overall digital skills,0.14
2023,Albania,"Individuals, 25 to 29 years old",Individuals with above basic overall digital skills,17.04
2023,Albania,"Individuals, 25 to 29 years old",Individuals with basic overall digital skills,29.39
2023,Albania,"Individuals, 25 to 29 years old",Individuals with low overall digital skills,46.43
2023,Albania,"Individuals, 25 to 29 years old",Individuals with basic or above basic overall digital skills,28.3
2023,Albania,"Individuals, 25 to 29 years old",Individuals with no overall digital skills,2.67
2023,Albania,"Individuals, 25 to 34 years old",Individuals with above basic overall digital skills,16.01
2023,Albania,"Individuals, 25 to 34 years old",Individuals with basic overall digital skills,25.65
2023,Albania,"Individuals, 25 to 34 years old",Individuals with low overall digital skills,41.66
2023,Albania,"Individuals, 25 to 34 years old",Individuals with basic or above basic overall digital skills,27.63
2023,Albania,"Individuals, 25 to 34 years old",Individuals with no overall digital skills,2.46
2023,Albania,"Individuals, 25 to 54 years old",Individuals with above basic overall digital skills,8.83
2023,Albania,"Individuals, 25 to 54 years old",Individuals with basic overall digital skills,18.19
2023,Albania,"Individuals, 25 to 54 years old",Individuals with low overall digital skills,27.03
2023,Albania,"Individuals, 25 to 54 years old",Individuals with basic or above basic overall digital skills,21.43
2023,Albania,"Individuals, 25 to 54 years old",Individuals with no overall digital skills,7.03
2023,Albania,"Individuals, 25 to 64 years old",Individuals with above basic overall digital skills,6.75
2023,Albania,"Individuals, 25 to 64 years old",Individuals with basic overall digital skills,14.79
2023,Albania,"Individuals, 25 to 64 years old",Individuals with low overall digital skills,21.53
