time_period,geo,age,obs_value
2023,Austria,From 15 to 34 years,64.9
2023,Austria,From 15 to 74 years,100.0
2023,Austria,From 35 to 74 years,35.1
2023,Belgium,From 15 to 34 years,64.3
2023,Belgium,From 15 to 74 years,100.0
2023,Belgium,From 35 to 74 years,35.7
2023,Bosnia and Herzegovina,From 15 to 34 years,80.1
2023,Bosnia and Herzegovina,From 15 to 74 years,100.0
2023,Bosnia and Herzegovina,From 35 to 74 years,19.9
2023,Bulgaria,From 15 to 34 years,66.1
2023,Bulgaria,From 15 to 74 years,100.0
2023,Bulgaria,From 35 to 74 years,33.9
2023,Croatia,From 15 to 34 years,77.3
2023,Croatia,From 15 to 74 years,100.0
2023,Croatia,From 35 to 74 years,22.7
2023,Cyprus,From 15 to 34 years,59.5
2023,Cyprus,From 15 to 74 years,100.0
2023,Cyprus,From 35 to 74 years,40.5
2023,Czechia,From 15 to 34 years,75.9
2023,Czechia,From 15 to 74 years,100.0
2023,Czechia,From 35 to 74 years,24.1
2023,Denmark,From 15 to 34 years,65.6
2023,Denmark,From 15 to 74 years,100.0
2023,Denmark,From 35 to 74 years,34.4
2023,Estonia,From 15 to 34 years,74.4
2023,Estonia,From 15 to 74 years,100.0
2023,Estonia,From 35 to 74 years,25.6
2023,European Union - 27 countries (from 2020),From 15 to 34 years,68.4
2023,European Union - 27 countries (from 2020),From 15 to 74 years,100.0
2023,European Union - 27 countries (from 2020),From 35 to 74 years,31.6
2023,Finland,From 15 to 34 years,53.6
2023,Finland,From 15 to 74 years,100.0
2023,Finland,From 35 to 74 years,46.4
2023,France,From 15 to 34 years,69.9
2023,France,From 15 to 74 years,100.0
2023,France,From 35 to 74 years,30.1
2023,Germany,From 15 to 34 years,62.9
2023,Germany,From 15 to 74 years,100.0
2023,Germany,From 35 to 74 years,37.1
2023,Greece,From 15 to 34 years,68.0
2023,Greece,From 15 to 74 years,100.0
2023,Greece,From 35 to 74 years,32.0
2023,Hungary,From 15 to 34 years,74.6
2023,Hungary,From 15 to 74 years,100.0
2023,Hungary,From 35 to 74 years,25.4
2023,Iceland,From 15 to 34 years,
2023,Iceland,From 15 to 74 years,
2023,Iceland,From 35 to 74 years,
2023,Ireland,From 15 to 34 years,61.4
2023,Ireland,From 15 to 74 years,100.0
2023,Ireland,From 35 to 74 years,38.6
2023,Italy,From 15 to 34 years,76.8
2023,Italy,From 15 to 74 years,100.0
2023,Italy,From 35 to 74 years,23.2
2023,Latvia,From 15 to 34 years,63.2
2023,Latvia,From 15 to 74 years,100.0
2023,Latvia,From 35 to 74 years,
2023,Lithuania,From 15 to 34 years,68.9
2023,Lithuania,From 15 to 74 years,100.0
2023,Lithuania,From 35 to 74 years,31.1
2023,Luxembourg,From 15 to 34 years,59.8
2023,Luxembourg,From 15 to 74 years,100.0
2023,Luxembourg,From 35 to 74 years,40.2
2023,Malta,From 15 to 34 years,78.3
2023,Malta,From 15 to 74 years,100.0
2023,Malta,From 35 to 74 years,21.7
2023,Netherlands,From 15 to 34 years,67.8
2023,Netherlands,From 15 to 74 years,100.0
2023,Netherlands,From 35 to 74 years,32.2
2023,Norway,From 15 to 34 years,75.1
2023,Norway,From 15 to 74 years,100.0
2023,Norway,From 35 to 74 years,24.9
2023,Poland,From 15 to 34 years,74.4
2023,Poland,From 15 to 74 years,100.0
2023,Poland,From 35 to 74 years,25.6
2023,Portugal,From 15 to 34 years,75.8
2023,Portugal,From 15 to 74 years,100.0
2023,Portugal,From 35 to 74 years,24.2
2023,Romania,From 15 to 34 years,76.6
2023,Romania,From 15 to 74 years,100.0
2023,Romania,From 35 to 74 years,23.4
2023,Serbia,From 15 to 34 years,76.3
2023,Serbia,From 15 to 74 years,100.0
2023,Serbia,From 35 to 74 years,23.7
2023,Slovakia,From 15 to 34 years,71.6
2023,Slovakia,From 15 to 74 years,100.0
2023,Slovakia,From 35 to 74 years,28.4
2023,Slovenia,From 15 to 34 years,67.1
2023,Slovenia,From 15 to 74 years,100.0
2023,Slovenia,From 35 to 74 years,32.9
2023,Spain,From 15 to 34 years,67.4
2023,Spain,From 15 to 74 years,100.0
2023,Spain,From 35 to 74 years,32.6
2023,Sweden,From 15 to 34 years,59.6
2023,Sweden,From 15 to 74 years,100.0
2023,Sweden,From 35 to 74 years,40.4
2023,Switzerland,From 15 to 34 years,64.9
2023,Switzerland,From 15 to 74 years,100.0
2023,Switzerland,From 35 to 74 years,35.1
2023,Türkiye,From 15 to 34 years,90.4
2023,Türkiye,From 15 to 74 years,100.0
2023,Türkiye,From 35 to 74 years,9.6
2022,Austria,From 15 to 34 years,65.5
2022,Austria,From 15 to 74 years,100.0
2022,Austria,From 35 to 74 years,34.5
2022,Belgium,From 15 to 34 years,64.3
2022,Belgium,From 15 to 74 years,100.0
2022,Belgium,From 35 to 74 years,35.7
2022,Bosnia and Herzegovina,From 15 to 34 years,78.0
2022,Bosnia and Herzegovina,From 15 to 74 years,100.0
2022,Bosnia and Herzegovina,From 35 to 74 years,22.0
2022,Bulgaria,From 15 to 34 years,58.2
2022,Bulgaria,From 15 to 74 years,100.0
2022,Bulgaria,From 35 to 74 years,41.8
2022,Croatia,From 15 to 34 years,81.5
2022,Croatia,From 15 to 74 years,100.0
2022,Croatia,From 35 to 74 years,18.5
2022,Cyprus,From 15 to 34 years,65.3
2022,Cyprus,From 15 to 74 years,100.0
2022,Cyprus,From 35 to 74 years,34.7
2022,Czechia,From 15 to 34 years,73.4
2022,Czechia,From 15 to 74 years,100.0
2022,Czechia,From 35 to 74 years,26.6
2022,Denmark,From 15 to 34 years,64.4
2022,Denmark,From 15 to 74 years,100.0
2022,Denmark,From 35 to 74 years,35.6
2022,Estonia,From 15 to 34 years,74.9
2022,Estonia,From 15 to 74 years,100.0
2022,Estonia,From 35 to 74 years,25.1
2022,European Union - 27 countries (from 2020),From 15 to 34 years,67.8
2022,European Union - 27 countries (from 2020),From 15 to 74 years,100.0
2022,European Union - 27 countries (from 2020),From 35 to 74 years,32.2
2022,Finland,From 15 to 34 years,52.6
2022,Finland,From 15 to 74 years,100.0
2022,Finland,From 35 to 74 years,47.4
