time_period,country,sex_tag,sex,obs_value
2018,Austria,F,Females,19.0
2019,Austria,F,Females,25.0
2006,Belgium,F,Females,15.0
2007,Belgium,F,Females,14.5
2009,Belgium,F,Females,12.5
2010,Belgium,F,Females,13.4
2012,Belgium,F,Females,12.2
2013,Belgium,F,Females,10.7
2016,Belgium,F,Females,12.7
2023,Belgium,F,Females,15.2
2022,Bulgaria,F,Females,31.3
2023,Bulgaria,F,Females,33.4
2011,Switzerland,F,Females,12.7
2012,Switzerland,F,Females,12.4
2013,Switzerland,F,Females,14.3
2015,Switzerland,F,Females,16.5
2016,Switzerland,F,Females,14.6
2017,Switzerland,F,Females,15.1
2018,Switzerland,F,Females,14.0
2019,Switzerland,F,Females,14.0
2020,Switzerland,F,Females,14.0
2022,Switzerland,F,Females,11.0
2023,Switzerland,F,Females,10.5
2006,Cyprus,F,Females,35.0
2008,Cyprus,F,Females,32.8
2010,Cyprus,F,Females,38.0
2011,Cyprus,F,Females,40.9
2012,Cyprus,F,Females,39.3
2013,Cyprus,F,Females,34.3
2015,Cyprus,F,Females,33.0
2016,Cyprus,F,Females,32.6
2018,Cyprus,F,Females,24.5
2019,Cyprus,F,Females,26.9
2020,Cyprus,F,Females,27.5
2022,Cyprus,F,Females,30.2
2015,Czechia,F,Females,10.8
2016,Czechia,F,Females,12.0
2018,Czechia,F,Females,10.1
2020,Czechia,F,Females,11.1
2022,Czechia,F,Females,10.1
2023,Czechia,F,Females,13.1
2004,Germany,F,Females,16.3
2007,Germany,F,Females,19.1
2013,Germany,F,Females,13.9
2015,Germany,F,Females,13.3
2016,Germany,F,Females,13.4
2017,Germany,F,Females,13.8
2018,Germany,F,Females,13.5
2019,Germany,F,Females,13.8
2022,Germany,F,Females,15.1
2023,Germany,F,Females,15.3
2006,Denmark,F,Females,17.9
2019,Denmark,F,Females,18.6
2020,Denmark,F,Females,32.9
2022,Denmark,F,Females,31.3
2012,Estonia,F,Females,33.7
2019,Estonia,F,Females,19.5
2020,Estonia,F,Females,19.4
2022,Estonia,F,Females,16.5
2023,Estonia,F,Females,28.3
2006,Greece,F,Females,40.0
2007,Greece,F,Females,40.8
2008,Greece,F,Females,40.5
2010,Greece,F,Females,39.1
2011,Greece,F,Females,35.9
2012,Greece,F,Females,37.3
2013,Greece,F,Females,33.1
2015,Greece,F,Females,34.2
2016,Greece,F,Females,26.9
2017,Greece,F,Females,21.7
2018,Greece,F,Females,21.5
2019,Greece,F,Females,27.4
2020,Greece,F,Females,30.6
2022,Greece,F,Females,22.8
2023,Greece,F,Females,31.9
2007,Spain,F,Females,23.5
2008,Spain,F,Females,25.3
2009,Spain,F,Females,25.3
2010,Spain,F,Females,23.7
2011,Spain,F,Females,25.9
2012,Spain,F,Females,17.4
2013,Spain,F,Females,17.4
2015,Spain,F,Females,23.3
2016,Spain,F,Females,20.4
2017,Spain,F,Females,19.3
2018,Spain,F,Females,20.9
2019,Spain,F,Females,22.3
2020,Spain,F,Females,20.9
2004,European Union - 15 countries (1995-2004),F,Females,26.4
2006,European Union - 15 countries (1995-2004),F,Females,23.3
2007,European Union - 15 countries (1995-2004),F,Females,24.3
2008,European Union - 15 countries (1995-2004),F,Females,21.8
2009,European Union - 15 countries (1995-2004),F,Females,20.4
2010,European Union - 15 countries (1995-2004),F,Females,19.5
2011,European Union - 15 countries (1995-2004),F,Females,20.9
2012,European Union - 15 countries (1995-2004),F,Females,18.8
2013,European Union - 15 countries (1995-2004),F,Females,17.9
2015,European Union - 15 countries (1995-2004),F,Females,18.8
2016,European Union - 15 countries (1995-2004),F,Females,16.6
2017,European Union - 15 countries (1995-2004),F,Females,17.0
2018,European Union - 15 countries (1995-2004),F,Females,16.0
2019,European Union - 15 countries (1995-2004),F,Females,18.6
2004,European Union - 27 countries (from 2020),F,Females,27.5
2006,European Union - 27 countries (from 2020),F,Females,22.1
2007,European Union - 27 countries (from 2020),F,Females,22.7
2008,European Union - 27 countries (from 2020),F,Females,21.4
2009,European Union - 27 countries (from 2020),F,Females,20.2
2010,European Union - 27 countries (from 2020),F,Females,19.6
2011,European Union - 27 countries (from 2020),F,Females,19.2
2012,European Union - 27 countries (from 2020),F,Females,18.3
2013,European Union - 27 countries (from 2020),F,Females,17.2
2015,European Union - 27 countries (from 2020),F,Females,16.6
2016,European Union - 27 countries (from 2020),F,Females,16.0
2017,European Union - 27 countries (from 2020),F,Females,15.4
2018,European Union - 27 countries (from 2020),F,Females,15.4
2019,European Union - 27 countries (from 2020),F,Females,17.2
2020,European Union - 27 countries (from 2020),F,Females,17.1
2022,European Union - 27 countries (from 2020),F,Females,15.5
2023,European Union - 27 countries (from 2020),F,Females,17.4
2004,European Union - 28 countries (2013-2020),F,Females,27.4
2006,European Union - 28 countries (2013-2020),F,Females,23.3
2007,European Union - 28 countries (2013-2020),F,Females,23.8
2008,European Union - 28 countries (2013-2020),F,Females,21.8
2009,European Union - 28 countries (2013-2020),F,Females,21.0
2010,European Union - 28 countries (2013-2020),F,Females,19.5
2011,European Union - 28 countries (2013-2020),F,Females,20.3
2012,European Union - 28 countries (2013-2020),F,Females,18.8
2013,European Union - 28 countries (2013-2020),F,Females,17.8
2015,European Union - 28 countries (2013-2020),F,Females,17.5
2016,European Union - 28 countries (2013-2020),F,Females,16.1
2017,European Union - 28 countries (2013-2020),F,Females,16.2
2018,European Union - 28 countries (2013-2020),F,Females,15.4
2019,European Union - 28 countries (2013-2020),F,Females,17.5
2004,Finland,F,Females,42.7
2006,Finland,F,Females,39.4
2009,Finland,F,Females,34.8
2010,Finland,F,Females,32.2
2011,Finland,F,Females,31.8
2012,Finland,F,Females,25.9
2013,Finland,F,Females,29.7
2015,Finland,F,Females,29.4
2016,Finland,F,Females,19.9
2017,Finland,F,Females,18.6
2018,Finland,F,Females,16.3
2019,Finland,F,Females,14.2
2020,Finland,F,Females,14.1
2022,Finland,F,Females,16.6
2023,Finland,F,Females,16.1
2010,France,F,Females,17.6
2019,France,F,Females,22.3
