time_period,geo,age,obs_value
2023,Austria,From 15 to 34 years,64.9
2023,Austria,From 35 to 74 years,35.1
2023,Belgium,From 15 to 34 years,64.3
2023,Belgium,From 35 to 74 years,35.7
2023,Bulgaria,From 15 to 34 years,66.1
2023,Bulgaria,From 35 to 74 years,33.9
2023,Estonia,From 15 to 34 years,74.4
2023,Estonia,From 35 to 74 years,25.6
2023,Finland,From 15 to 34 years,53.6
2023,Finland,From 35 to 74 years,46.4
2023,Germany,From 15 to 34 years,62.9
2023,Germany,From 35 to 74 years,37.1
2023,Greece,From 15 to 34 years,68.0
2023,Greece,From 35 to 74 years,32.0
2023,Hungary,From 15 to 34 years,74.6
2023,Hungary,From 35 to 74 years,25.4
2023,Ireland,From 15 to 34 years,61.4
2023,Ireland,From 35 to 74 years,38.6
2023,Italy,From 15 to 34 years,76.8
2023,Italy,From 35 to 74 years,23.2
2023,Lithuania,From 15 to 34 years,68.9
2023,Lithuania,From 35 to 74 years,31.1
2023,Netherlands,From 15 to 34 years,67.8
2023,Netherlands,From 35 to 74 years,32.2
2023,Poland,From 15 to 34 years,74.4
2023,Poland,From 35 to 74 years,25.6
2023,Portugal,From 15 to 34 years,75.8
2023,Portugal,From 35 to 74 years,24.2
2023,Romania,From 15 to 34 years,76.6
2023,Romania,From 35 to 74 years,23.4
2023,Slovakia,From 15 to 34 years,71.6
2023,Slovakia,From 35 to 74 years,28.4
2023,Sweden,From 15 to 34 years,59.6
2023,Sweden,From 35 to 74 years,40.4
2022,Belgium,From 15 to 34 years,64.3
2022,Belgium,From 35 to 74 years,35.7
2022,Bulgaria,From 15 to 34 years,58.2
2022,Bulgaria,From 35 to 74 years,41.8
2022,Cyprus,From 15 to 34 years,65.3
2022,Cyprus,From 35 to 74 years,34.7
2022,Denmark,From 15 to 34 years,64.4
2022,Denmark,From 35 to 74 years,35.6
2022,Estonia,From 15 to 34 years,74.9
2022,Estonia,From 35 to 74 years,25.1
2022,Finland,From 15 to 34 years,52.6
2022,Finland,From 35 to 74 years,47.4
2022,Germany,From 15 to 34 years,63.7
2022,Germany,From 35 to 74 years,36.3
2022,Greece,From 15 to 34 years,65.9
2022,Greece,From 35 to 74 years,34.1
2022,Hungary,From 15 to 34 years,76.7
2022,Hungary,From 35 to 74 years,23.3
2022,Ireland,From 15 to 34 years,56.9
2022,Ireland,From 35 to 74 years,43.1
2022,Italy,From 15 to 34 years,75.3
2022,Italy,From 35 to 74 years,24.7
2022,Lithuania,From 15 to 34 years,73.9
2022,Lithuania,From 35 to 74 years,26.1
2022,Luxembourg,From 15 to 34 years,64.2
2022,Luxembourg,From 35 to 74 years,35.8
2022,Netherlands,From 15 to 34 years,67.4
2022,Netherlands,From 35 to 74 years,32.6
2022,Poland,From 15 to 34 years,76.8
2022,Poland,From 35 to 74 years,23.2
2022,Portugal,From 15 to 34 years,76.4
2022,Portugal,From 35 to 74 years,23.6
2022,Romania,From 15 to 34 years,82.4
2022,Romania,From 35 to 74 years,17.6
2022,Sweden,From 15 to 34 years,65.5
2022,Sweden,From 35 to 74 years,34.5
2020,Austria,From 15 to 34 years,62.9
2020,Austria,From 35 to 74 years,37.1
2020,Belgium,From 15 to 34 years,72.9
2020,Belgium,From 35 to 74 years,27.1
2020,Cyprus,From 15 to 34 years,73.4
2020,Cyprus,From 35 to 74 years,26.6
2020,Denmark,From 15 to 34 years,68.0
2020,Denmark,From 35 to 74 years,32.0
2020,Estonia,From 15 to 34 years,72.0
2020,Estonia,From 35 to 74 years,28.0
2020,Finland,From 15 to 34 years,52.8
2020,Finland,From 35 to 74 years,47.2
2020,France,From 15 to 34 years,58.9
2020,France,From 35 to 74 years,41.1
2020,Greece,From 15 to 34 years,61.9
2020,Greece,From 35 to 74 years,38.1
2020,Hungary,From 15 to 34 years,70.1
2020,Hungary,From 35 to 74 years,29.9
2020,Ireland,From 15 to 34 years,57.7
2020,Ireland,From 35 to 74 years,42.3
2020,Italy,From 15 to 34 years,75.9
2020,Italy,From 35 to 74 years,24.1
2020,Latvia,From 15 to 34 years,70.6
2020,Latvia,From 35 to 74 years,29.4
2020,Lithuania,From 15 to 34 years,67.0
2020,Lithuania,From 35 to 74 years,33.0
2020,Luxembourg,From 15 to 34 years,63.1
2020,Luxembourg,From 35 to 74 years,36.9
2020,Malta,From 15 to 34 years,80.1
2020,Malta,From 35 to 74 years,19.9
2020,Netherlands,From 15 to 34 years,63.2
2020,Netherlands,From 35 to 74 years,36.8
2020,Poland,From 15 to 34 years,68.1
2020,Poland,From 35 to 74 years,31.9
2020,Portugal,From 15 to 34 years,77.3
2020,Portugal,From 35 to 74 years,22.7
2020,Romania,From 15 to 34 years,82.1
2020,Romania,From 35 to 74 years,17.9
2020,Slovakia,From 15 to 34 years,79.4
2020,Slovakia,From 35 to 74 years,20.6
2020,Spain,From 15 to 34 years,63.3
2020,Spain,From 35 to 74 years,36.7
2020,Sweden,From 15 to 34 years,63.1
2020,Sweden,From 35 to 74 years,36.9
2019,Austria,From 15 to 34 years,63.1
2019,Austria,From 35 to 74 years,36.9
2019,Belgium,From 15 to 34 years,75.3
2019,Belgium,From 35 to 74 years,24.7
2019,Cyprus,From 15 to 34 years,69.5
2019,Cyprus,From 35 to 74 years,30.5
2019,Denmark,From 15 to 34 years,62.4
2019,Denmark,From 35 to 74 years,37.6
2019,Estonia,From 15 to 34 years,68.7
2019,Estonia,From 35 to 74 years,31.3
2019,Finland,From 15 to 34 years,40.7
2019,Finland,From 35 to 74 years,59.3
2019,France,From 15 to 34 years,67.3
2019,France,From 35 to 74 years,32.7
2019,Germany,From 15 to 34 years,60.7
2019,Germany,From 35 to 74 years,39.3
2019,Greece,From 15 to 34 years,69.9
2019,Greece,From 35 to 74 years,30.1
2019,Hungary,From 15 to 34 years,73.0
2019,Hungary,From 35 to 74 years,27.0
2019,Ireland,From 15 to 34 years,57.8
2019,Ireland,From 35 to 74 years,42.2
2019,Italy,From 15 to 34 years,77.8
2019,Italy,From 35 to 74 years,22.2
2019,Latvia,From 15 to 34 years,73.6
2019,Latvia,From 35 to 74 years,26.4
2019,Lithuania,From 15 to 34 years,74.9
2019,Lithuania,From 35 to 74 years,25.1
2019,Luxembourg,From 15 to 34 years,67.8
2019,Luxembourg,From 35 to 74 years,32.2
2019,Malta,From 15 to 34 years,82.7
2019,Malta,From 35 to 74 years,17.3
2019,Portugal,From 15 to 34 years,75.1
2019,Portugal,From 35 to 74 years,24.9
2019,Romania,From 15 to 34 years,79.8
2019,Romania,From 35 to 74 years,20.2
2019,Slovakia,From 15 to 34 years,79.2
2019,Slovakia,From 35 to 74 years,20.8
2019,Spain,From 15 to 34 years,62.2
2019,Spain,From 35 to 74 years,37.8
2019,Sweden,From 15 to 34 years,62.4
2019,Sweden,From 35 to 74 years,37.6
2019,United Kingdom,From 15 to 34 years,67.4
2019,United Kingdom,From 35 to 74 years,32.6
2018,Austria,From 15 to 34 years,56.9
2018,Austria,From 35 to 74 years,43.1
2018,Belgium,From 15 to 34 years,76.3
2018,Belgium,From 35 to 74 years,23.7
2018,Cyprus,From 15 to 34 years,69.5
2018,Cyprus,From 35 to 74 years,30.5
2018,Denmark,From 15 to 34 years,55.2
2018,Denmark,From 35 to 74 years,44.8
2018,Estonia,From 15 to 34 years,72.2
2018,Estonia,From 35 to 74 years,27.8
2018,Finland,From 15 to 34 years,42.8
2018,Finland,From 35 to 74 years,57.2
2018,France,From 15 to 34 years,68.1
2018,France,From 35 to 74 years,31.9
2018,Germany,From 15 to 34 years,60.8
2018,Germany,From 35 to 74 years,39.2
2018,Greece,From 15 to 34 years,78.1
2018,Greece,From 35 to 74 years,21.9
2018,Hungary,From 15 to 34 years,72.1
2018,Hungary,From 35 to 74 years,27.9
2018,Ireland,From 15 to 34 years,52.6
2018,Ireland,From 35 to 74 years,47.4
2018,Lithuania,From 15 to 34 years,77.4
2018,Lithuania,From 35 to 74 years,22.6
2018,Luxembourg,From 15 to 34 years,67.8
2018,Luxembourg,From 35 to 74 years,32.2
2018,Malta,From 15 to 34 years,86.0
2018,Malta,From 35 to 74 years,14.0
2018,Netherlands,From 15 to 34 years,61.1
2018,Netherlands,From 35 to 74 years,38.9
2018,Poland,From 15 to 34 years,67.9
2018,Poland,From 35 to 74 years,32.1
2018,Portugal,From 15 to 34 years,77.0
2018,Portugal,From 35 to 74 years,23.0
2018,Romania,From 15 to 34 years,80.2
2018,Romania,From 35 to 74 years,19.8
2018,Slovakia,From 15 to 34 years,80.2
2018,Slovakia,From 35 to 74 years,19.8
2018,Spain,From 15 to 34 years,61.8
2018,Spain,From 35 to 74 years,38.2
2018,United Kingdom,From 15 to 34 years,71.1
2018,United Kingdom,From 35 to 74 years,28.9
2017,Austria,From 15 to 34 years,63.1
2017,Austria,From 35 to 74 years,36.9
2017,Cyprus,From 15 to 34 years,71.7
2017,Cyprus,From 35 to 74 years,28.3
2017,Estonia,From 15 to 34 years,76.0
2017,Estonia,From 35 to 74 years,24.0
2017,Finland,From 15 to 34 years,37.8
2017,Finland,From 35 to 74 years,62.2
2017,France,From 15 to 34 years,69.7
2017,France,From 35 to 74 years,30.3
2017,Germany,From 15 to 34 years,61.5
2017,Germany,From 35 to 74 years,38.5
2017,Greece,From 15 to 34 years,78.7
2017,Greece,From 35 to 74 years,21.3
2017,Hungary,From 15 to 34 years,74.5
2017,Hungary,From 35 to 74 years,25.5
2017,Italy,From 15 to 34 years,71.6
2017,Italy,From 35 to 74 years,28.4
2017,Latvia,From 15 to 34 years,73.4
2017,Latvia,From 35 to 74 years,26.6
2017,Luxembourg,From 15 to 34 years,69.3
2017,Luxembourg,From 35 to 74 years,30.7
2017,Malta,From 15 to 34 years,86.8
2017,Malta,From 35 to 74 years,13.2
2017,Netherlands,From 15 to 34 years,61.7
2017,Netherlands,From 35 to 74 years,38.3
2017,Poland,From 15 to 34 years,73.5
2017,Poland,From 35 to 74 years,26.5
2017,Portugal,From 15 to 34 years,75.5
2017,Portugal,From 35 to 74 years,24.5
2017,Romania,From 15 to 34 years,79.2
2017,Romania,From 35 to 74 years,20.8
2017,Slovakia,From 15 to 34 years,77.3
2017,Slovakia,From 35 to 74 years,22.7
2017,Spain,From 15 to 34 years,64.0
2017,Spain,From 35 to 74 years,36.0
2017,Sweden,From 15 to 34 years,53.2
2017,Sweden,From 35 to 74 years,46.8
2017,United Kingdom,From 15 to 34 years,72.0
2017,United Kingdom,From 35 to 74 years,28.0
2016,Austria,From 15 to 34 years,60.2
2016,Austria,From 35 to 74 years,39.8
2016,Belgium,From 15 to 34 years,71.9
2016,Belgium,From 35 to 74 years,28.1
2016,Cyprus,From 15 to 34 years,70.0
2016,Cyprus,From 35 to 74 years,30.0
2016,Estonia,From 15 to 34 years,76.6
2016,Estonia,From 35 to 74 years,23.4
2016,Finland,From 15 to 34 years,44.5
2016,Finland,From 35 to 74 years,55.5
2016,France,From 15 to 34 years,62.5
2016,France,From 35 to 74 years,37.5
2016,Germany,From 15 to 34 years,62.8
2016,Germany,From 35 to 74 years,37.2
2016,Greece,From 15 to 34 years,77.5
2016,Greece,From 35 to 74 years,22.5
2016,Hungary,From 15 to 34 years,73.0
2016,Hungary,From 35 to 74 years,27.0
2016,Ireland,From 15 to 34 years,59.3
2016,Ireland,From 35 to 74 years,40.7
2016,Italy,From 15 to 34 years,75.7
2016,Italy,From 35 to 74 years,24.3
2016,Latvia,From 15 to 34 years,78.6
2016,Latvia,From 35 to 74 years,21.4
2016,Netherlands,From 15 to 34 years,60.7
2016,Netherlands,From 35 to 74 years,39.3
2016,Poland,From 15 to 34 years,77.0
2016,Poland,From 35 to 74 years,23.0
2016,Portugal,From 15 to 34 years,69.7
2016,Portugal,From 35 to 74 years,30.3
2016,Romania,From 15 to 34 years,76.2
2016,Romania,From 35 to 74 years,23.8
2016,Slovakia,From 15 to 34 years,81.9
2016,Slovakia,From 35 to 74 years,18.1
2016,Spain,From 15 to 34 years,61.7
2016,Spain,From 35 to 74 years,38.3
2016,Sweden,From 15 to 34 years,50.8
2016,Sweden,From 35 to 74 years,49.2
2016,United Kingdom,From 15 to 34 years,68.0
2016,United Kingdom,From 35 to 74 years,32.0
2015,Austria,From 15 to 34 years,59.8
2015,Austria,From 35 to 74 years,40.2
