time_period,country,sex_tag,sex,obs_value
2018,Austria,F,Females,19.0
2019,Austria,F,Females,25.0
2006,Belgium,F,Females,15.0
2007,Belgium,F,Females,14.5
2009,Belgium,F,Females,12.5
2010,Belgium,F,Females,13.4
2012,Belgium,F,Females,12.2
2013,Belgium,F,Females,10.7
2016,Belgium,F,Females,12.7
2023,Belgium,F,Females,15.2
2022,Bulgaria,F,Females,31.3
2023,Bulgaria,F,Females,33.4
2006,Cyprus,F,Females,35.0
2008,Cyprus,F,Females,32.8
2010,Cyprus,F,Females,38.0
2011,Cyprus,F,Females,40.9
2012,Cyprus,F,Females,39.3
2013,Cyprus,F,Females,34.3
2015,Cyprus,F,Females,33.0
2016,Cyprus,F,Females,32.6
2018,Cyprus,F,Females,24.5
2019,Cyprus,F,Females,26.9
2020,Cyprus,F,Females,27.5
2022,Cyprus,F,Females,30.2
2004,Germany,F,Females,16.3
2007,Germany,F,Females,19.1
2013,Germany,F,Females,13.9
2015,Germany,F,Females,13.3
2016,Germany,F,Females,13.4
2017,Germany,F,Females,13.8
2018,Germany,F,Females,13.5
2019,Germany,F,Females,13.8
2022,Germany,F,Females,15.1
2023,Germany,F,Females,15.3
2006,Denmark,F,Females,17.9
2019,Denmark,F,Females,18.6
2020,Denmark,F,Females,32.9
2022,Denmark,F,Females,31.3
2012,Estonia,F,Females,33.7
2019,Estonia,F,Females,19.5
2020,Estonia,F,Females,19.4
2022,Estonia,F,Females,16.5
2023,Estonia,F,Females,28.3
2006,Greece,F,Females,40.0
2007,Greece,F,Females,40.8
2008,Greece,F,Females,40.5
2010,Greece,F,Females,39.1
2011,Greece,F,Females,35.9
2012,Greece,F,Females,37.3
2013,Greece,F,Females,33.1
2015,Greece,F,Females,34.2
2016,Greece,F,Females,26.9
2017,Greece,F,Females,21.7
2018,Greece,F,Females,21.5
2019,Greece,F,Females,27.4
2020,Greece,F,Females,30.6
2022,Greece,F,Females,22.8
2023,Greece,F,Females,31.9
2007,Spain,F,Females,23.5
2008,Spain,F,Females,25.3
2009,Spain,F,Females,25.3
2010,Spain,F,Females,23.7
2011,Spain,F,Females,25.9
2012,Spain,F,Females,17.4
2013,Spain,F,Females,17.4
2015,Spain,F,Females,23.3
2016,Spain,F,Females,20.4
2017,Spain,F,Females,19.3
2018,Spain,F,Females,20.9
2019,Spain,F,Females,22.3
2020,Spain,F,Females,20.9
2004,Finland,F,Females,42.7
2006,Finland,F,Females,39.4
2009,Finland,F,Females,34.8
2010,Finland,F,Females,32.2
2011,Finland,F,Females,31.8
2012,Finland,F,Females,25.9
2013,Finland,F,Females,29.7
2015,Finland,F,Females,29.4
2016,Finland,F,Females,19.9
2017,Finland,F,Females,18.6
2018,Finland,F,Females,16.3
2019,Finland,F,Females,14.2
2020,Finland,F,Females,14.1
2022,Finland,F,Females,16.6
2023,Finland,F,Females,16.1
2010,France,F,Females,17.6
2019,France,F,Females,22.3
2020,France,F,Females,16.6
2004,Hungary,F,Females,23.4
2006,Hungary,F,Females,20.2
2007,Hungary,F,Females,19.1
2008,Hungary,F,Females,17.7
2009,Hungary,F,Females,15.6
2010,Hungary,F,Females,15.7
2011,Hungary,F,Females,14.1
2012,Hungary,F,Females,14.8
2013,Hungary,F,Females,16.1
2015,Hungary,F,Females,13.8
2016,Hungary,F,Females,14.8
2017,Hungary,F,Females,9.6
2018,Hungary,F,Females,11.2
2019,Hungary,F,Females,13.7
2020,Hungary,F,Females,17.1
2022,Hungary,F,Females,11.7
2023,Hungary,F,Females,14.0
2004,Ireland,F,Females,52.0
2006,Ireland,F,Females,46.8
2008,Ireland,F,Females,40.3
2009,Ireland,F,Females,36.7
2010,Ireland,F,Females,35.8
2011,Ireland,F,Females,33.9
2012,Ireland,F,Females,35.2
2013,Ireland,F,Females,30.4
2015,Ireland,F,Females,27.7
2016,Ireland,F,Females,28.8
2018,Ireland,F,Females,24.8
2019,Ireland,F,Females,22.0
2020,Ireland,F,Females,23.2
2022,Ireland,F,Females,23.9
2023,Ireland,F,Females,23.8
2006,Italy,F,Females,31.3
2007,Italy,F,Females,30.3
2008,Italy,F,Females,29.2
2009,Italy,F,Females,22.8
2010,Italy,F,Females,23.6
2011,Italy,F,Females,27.6
2012,Italy,F,Females,24.9
2013,Italy,F,Females,21.2
2015,Italy,F,Females,18.9
2016,Italy,F,Females,18.2
2017,Italy,F,Females,21.6
2019,Italy,F,Females,16.1
2020,Italy,F,Females,16.7
2022,Italy,F,Females,14.5
2023,Italy,F,Females,11.2
2020,Lithuania,F,Females,20.7
2022,Lithuania,F,Females,15.4
2023,Lithuania,F,Females,17.2
2019,Luxembourg,F,Females,23.6
2022,Luxembourg,F,Females,17.8
2007,Latvia,F,Females,23.9
2008,Latvia,F,Females,29.1
2017,Latvia,F,Females,18.2
2019,Latvia,F,Females,24.8
2015,Malta,F,Females,19.0
2016,Malta,F,Females,16.9
2017,Malta,F,Females,23.0
2018,Malta,F,Females,23.4
2019,Malta,F,Females,18.2
2020,Malta,F,Females,14.7
2004,Netherlands,F,Females,10.5
2007,Netherlands,F,Females,14.4
2008,Netherlands,F,Females,11.5
2009,Netherlands,F,Females,9.0
2010,Netherlands,F,Females,8.7
2011,Netherlands,F,Females,8.5
2012,Netherlands,F,Females,12.1
2015,Netherlands,F,Females,17.1
2016,Netherlands,F,Females,11.0
2017,Netherlands,F,Females,12.3
2018,Netherlands,F,Females,12.6
2020,Netherlands,F,Females,13.9
2022,Netherlands,F,Females,15.2
2023,Netherlands,F,Females,12.9
2006,Poland,F,Females,17.1
2007,Poland,F,Females,18.3
2008,Poland,F,Females,17.0
2009,Poland,F,Females,20.1
2011,Poland,F,Females,15.7
2012,Poland,F,Females,16.3
2013,Poland,F,Females,12.9
2015,Poland,F,Females,10.8
2016,Poland,F,Females,11.2
2017,Poland,F,Females,10.4
2018,Poland,F,Females,9.6
2020,Poland,F,Females,11.9
2022,Poland,F,Females,9.7
2023,Poland,F,Females,14.6
2006,Portugal,F,Females,26.1
