DATAFLOW,LAST UPDATE,freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2005,90.50,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2006,92.18,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2007,92.72,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2008,95.19,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2009,98.27,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2010,96.01,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2011,99.07,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2012,99.29,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2013,99.35,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2014,97.25,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2015,98.53,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2017,98.84,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2006,88.95,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2007,92.11,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2008,92.38,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2009,95.04,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2010,96.52,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2011,96.30,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2012,94.86,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2013,96.03,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2014,96.66,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2015,95.66,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2017,94.74,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Bulgaria,2006,61.65,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Bulgaria,2007,65.60,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Bulgaria,2008,74.61,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Bulgaria,2009,79.82,,
ESTAT:ISOC_CI_CFP_CU(1.0),16/06/24 23:00:00,Annual,Last computer use: within last 3 months,Percentage of individuals,"Individuals, 16 to 24 years old",Bulgaria,2010,78.38,,
