DATAFLOW,LAST UPDATE,freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Albania,2018,1.98,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Albania,2019,0.31,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Albania,2020,0.62,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Albania,2021,0.44,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Albania,2022,0.64,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Albania,2023,0.77,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2005,4.72,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2006,3.49,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2007,3.93,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2008,,u,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2009,,u,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2010,,u,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2011,1.07,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2012,0.26,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2013,0.39,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2014,0.95,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2015,0.53,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2016,0.81,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2017,0,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2018,0,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2019,0.25,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2020,0,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2021,0,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2022,0,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2023,0.15,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Austria,2024,0,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Bosnia and Herzegovina,2018,0.93,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Bosnia and Herzegovina,2019,1.15,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Bosnia and Herzegovina,2020,0.33,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Bosnia and Herzegovina,2021,0.29,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Bosnia and Herzegovina,2023,0,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Bosnia and Herzegovina,2024,0.30,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2005,2.28,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2006,3.18,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2007,2.23,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2008,1.90,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2009,1.01,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2010,0,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2011,0.50,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2012,0.75,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2013,0.22,,
ESTAT:ISOC_CI_IFP_IU(1.0),17/12/24 11:00:00,Annual,Last internet use: between 3 and 12 months ago,Percentage of individuals,"Individuals, 16 to 24 years old",Belgium,2014,0.17,,
