DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Andorra,2005,743,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Andorra,2006,725,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Andorra,2007,755,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Andorra,2008,834,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Andorra,2010,749,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Andorra,2011,753,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Andorra,2012,753,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Andorra,2013,833,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Andorra,2019,774,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2005,62614,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2006,64803,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2007,63027,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2008,57884,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2010,54125,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2011,55832,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2012,53433,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2013,49027,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2014,46020,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2015,47687,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2016,45117,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2017,38084,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2018,42164,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2019,38473,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2020,38153,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2021,36166,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2022,32513,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Albania,2023,31623,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2005,97385,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2006,98400,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2007,100746,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2008,99900,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2010,96392,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2011,93349,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2012,93989,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2013,90384,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2014,87758,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2015,85197,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2016,87035,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2017,84605,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2018,86985,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2019,84970,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2020,86765,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2021,85794,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2022,86050,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Austria,2023,86308,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2005,126406,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2006,129724,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2007,131590,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2008,130435,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2010,122641,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2011,123072,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2012,124854,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2013,125104,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2014,123570,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2015,123316,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2016,126107,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2017,124283,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2018,122693,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2019,124249,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2020,128150,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2021,130380,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2022,134401,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Belgium,2023,137163,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2005,100504,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2006,94647,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2007,86894,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2008,81502,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2010,71656,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2011,64992,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2012,64954,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2013,61733,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2014,57311,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2015,62079,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2016,62675,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2017,57093,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2018,54591,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2019,56670,,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,15 years,Total,Bulgaria,2020,57354,,
