DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Andorra,2005,3525.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Andorra,2006,3615.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Andorra,2007,3732.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Andorra,2008,3924.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Andorra,2009,3974.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Andorra,2010,3892.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Andorra,2011,3814,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Andorra,2012,3814,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Andorra,2013,3774,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Andorra,2019,4077,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2005,312032.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2006,311372.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2007,312509.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2008,306791.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2009,298635.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2010,290997.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2011,284947,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2012,277837,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2013,267926,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2014,255342,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2015,244467,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2016,234711,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2017,220937,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2018,214636,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2019,207192,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2020,197333,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2021,189075,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Albania,2023,172076,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2005,486684.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2006,491090.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2007,495572.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2008,500123.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2009,501779.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2010,500713.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2011,495028,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2012,488368,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2013,480555,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2014,470104,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2015,460918,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2016,462738,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2017,453985,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2018,446497,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2019,439004,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2020,437855,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2021,435249,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2022,439205,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Austria,2023,446517,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2005,619183.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2006,632604.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2007,643400.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2008,652315.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2009,654046.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2010,650632.0,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2011,649018,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2012,642314,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2013,635280,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2014,629626,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2015,628388,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2016,634837,,
ESTAT:DEMO_PJANGROUP(1.0),04/11/24 23:00:00,Annual,Number,Total,From 15 to 19 years,Belgium,2017,632988,,
