DATAFLOW,LAST UPDATE,freq,indic_is,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Albania,2019,4.08,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Austria,2011,2.51,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Austria,2012,3.31,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Austria,2013,2.83,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Austria,2014,2.28,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Austria,2015,1.65,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Austria,2016,1.88,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Austria,2017,1.06,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Austria,2019,1.69,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Bosnia and Herzegovina,2019,2.35,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Belgium,2011,5.25,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Belgium,2012,5.40,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Belgium,2013,3.80,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Belgium,2014,3.57,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Belgium,2015,3.45,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Belgium,2016,3.06,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Belgium,2017,2.25,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Belgium,2019,1.80,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Bulgaria,2011,9.17,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Bulgaria,2012,10.55,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Bulgaria,2013,9.24,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Bulgaria,2014,10.97,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Bulgaria,2015,9.86,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Bulgaria,2016,9.20,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Bulgaria,2017,7.17,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Bulgaria,2019,6.03,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Switzerland,2017,2.28,b,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Switzerland,2019,1.73,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Cyprus,2011,9.86,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Cyprus,2012,10.24,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Cyprus,2013,13.87,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Cyprus,2014,9.57,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Cyprus,2015,13.66,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Cyprus,2016,6.53,,
ESTAT:ISOC_PIBI_RNI(1.0),16/06/24 23:00:00,Annual,"Households without access to internet at home, because the access costs are too high (telephone, etc.)",Percentage of households,Total,Cyprus,2017,8.78,,
