Country,Year,Value
Austria,2002,33.47
Cyprus,2002,24.0
Denmark,2002,55.64
Finland,2002,44.28
France,2002,23.04
Germany,2002,46.14
Greece,2002,12.15
Italy,2002,33.75
Latvia,2002,3.0
Lithuania,2002,4.1
Luxembourg,2002,39.89
Netherlands,2002,58.0
Poland,2002,11.0
Portugal,2002,15.12
United Kingdom,2002,49.72
Austria,2003,37.37
Cyprus,2003,29.0
Denmark,2003,64.19
Finland,2003,47.36
France,2003,30.98
Germany,2003,54.08
Greece,2003,16.3
Ireland,2003,35.57
Italy,2003,32.08
Lithuania,2003,6.15
Luxembourg,2003,45.39
Netherlands,2003,60.53
Poland,2003,14.0
Portugal,2003,21.69
Spain,2003,27.55
United Kingdom,2003,55.11
Austria,2004,44.65
Bulgaria,2004,9.65
Cyprus,2004,52.77
Denmark,2004,69.36
Estonia,2004,30.76
Finland,2004,50.91
France,2004,33.61
Germany,2004,60.0
Greece,2004,16.54
Hungary,2004,14.18
Ireland,2004,39.73
Italy,2004,34.11
Latvia,2004,14.65
Lithuania,2004,11.6
Luxembourg,2004,58.64
Netherlands,2004,64.99
Poland,2004,26.02
Portugal,2004,26.17
Romania,2004,5.58
Slovakia,2004,23.34
Slovenia,2004,46.86
Spain,2004,33.64
United Kingdom,2004,55.9
Austria,2005,46.69
Belgium,2005,50.16
Cyprus,2005,31.71
Denmark,2005,74.92
Estonia,2005,36.79
Finland,2005,54.14
Germany,2005,61.64
Greece,2005,21.73
Hungary,2005,22.12
Ireland,2005,47.18
Italy,2005,38.58
Latvia,2005,30.52
Lithuania,2005,15.78
Luxembourg,2005,64.58
Malta,2005,40.57
Netherlands,2005,78.26
Poland,2005,30.44
Portugal,2005,31.46
Slovakia,2005,22.97
Slovenia,2005,48.21
Spain,2005,35.51
Sweden,2005,72.53
United Kingdom,2005,60.23
Austria,2006,52.3
Belgium,2006,53.96
Bulgaria,2006,17.01
Cyprus,2006,36.67
Denmark,2006,78.73
Estonia,2006,45.18
Finland,2006,64.73
France,2006,40.93
Germany,2006,67.11
Greece,2006,23.12
Hungary,2006,31.65
Ireland,2006,49.95
Italy,2006,40.01
Latvia,2006,42.2
Lithuania,2006,34.51
Luxembourg,2006,70.18
Malta,2006,52.78
Netherlands,2006,80.26
Poland,2006,35.94
Portugal,2006,35.15
Romania,2006,14.25
Slovakia,2006,26.58
Slovenia,2006,54.36
Spain,2006,38.04
Sweden,2006,77.39
United Kingdom,2006,62.64
Austria,2007,59.62
Belgium,2007,60.16
Bulgaria,2007,18.96
Croatia,2007,40.59
Cyprus,2007,38.9
Denmark,2007,78.05
Estonia,2007,52.2
European Union - 27 countries (from 2020),2007,52.99
European Union - 28 countries (2013-2020),2007,54.65
Finland,2007,68.78
France,2007,55.05
Germany,2007,70.67
Greece,2007,25.4
Hungary,2007,37.72
Ireland,2007,57.27
Italy,2007,43.38
Latvia,2007,50.53
Lithuania,2007,44.36
Luxembourg,2007,74.55
Malta,2007,53.92
Netherlands,2007,82.89
Poland,2007,40.98
Portugal,2007,39.61
Romania,2007,22.25
Slovakia,2007,46.11
Slovenia,2007,57.61
Spain,2007,43.48
Sweden,2007,78.55
United Kingdom,2007,66.72
Austria,2008,68.92
Belgium,2008,63.63
Bulgaria,2008,25.29
Croatia,2008,45.26
Cyprus,2008,42.92
Denmark,2008,81.88
Estonia,2008,57.35
European Union - 27 countries (from 2020),2008,58.6
European Union - 28 countries (2013-2020),2008,60.13
Finland,2008,72.38
France,2008,62.32
Germany,2008,74.88
Greece,2008,30.96
Hungary,2008,46.63
Ireland,2008,63.05
Italy,2008,46.93
Latvia,2008,52.81
Lithuania,2008,50.94
Luxembourg,2008,80.09
Malta,2008,59.0
Netherlands,2008,86.08
Poland,2008,47.6
Portugal,2008,46.04
Romania,2008,29.6
Slovakia,2008,58.34
Slovenia,2008,58.89
Spain,2008,49.86
Sweden,2008,84.44
United Kingdom,2008,71.14
Austria,2009,69.75
Belgium,2009,67.44
Bulgaria,2009,29.6
Croatia,2009,50.04
Cyprus,2009,52.76
Denmark,2009,82.53
Estonia,2009,61.85
European Union - 27 countries (from 2020),2009,64.15
European Union - 28 countries (2013-2020),2009,65.69
Finland,2009,77.78
France,2009,68.87
Germany,2009,79.07
Greece,2009,38.06
Hungary,2009,53.42
Ireland,2009,66.67
Italy,2009,53.48
Latvia,2009,58.02
Lithuania,2009,60.0
Luxembourg,2009,87.2
Malta,2009,64.45
Netherlands,2009,89.7
Poland,2009,58.59
Portugal,2009,47.89
Romania,2009,37.95
Slovakia,2009,62.23
Slovenia,2009,63.94
Spain,2009,52.93
Sweden,2009,85.98
United Kingdom,2009,76.69
Austria,2010,72.89
Belgium,2010,72.74
Bulgaria,2010,33.11
Croatia,2010,56.5
Cyprus,2010,53.71
Denmark,2010,86.1
Estonia,2010,66.89
European Union - 27 countries (from 2020),2010,68.46
European Union - 28 countries (2013-2020),2010,69.85
Finland,2010,80.54
France,2010,73.61
Germany,2010,82.49
Greece,2010,46.35
Hungary,2010,58.41
Ireland,2010,71.69
Italy,2010,58.97
Latvia,2010,59.77
Lithuania,2010,60.58
Luxembourg,2010,90.28
Malta,2010,70.45
Netherlands,2010,90.89
Poland,2010,63.44
Portugal,2010,53.73
Romania,2010,42.18
Slovakia,2010,67.48
Slovenia,2010,68.13
Spain,2010,57.82
Sweden,2010,88.3
United Kingdom,2010,79.61
Austria,2011,75.44
Belgium,2011,76.51
Bulgaria,2011,45.0
Croatia,2011,61.41
Cyprus,2011,57.35
Denmark,2011,90.08
Estonia,2011,69.39
European Union - 27 countries (from 2020),2011,71.55
European Union - 28 countries (2013-2020),2011,72.89
Finland,2011,84.16
France,2011,75.92
Germany,2011,83.25
Greece,2011,50.17
Hungary,2011,63.22
Ireland,2011,78.12
Italy,2011,61.57
Latvia,2011,63.64
Lithuania,2011,60.14
Luxembourg,2011,90.62
Malta,2011,75.29
Netherlands,2011,93.64
Poland,2011,66.64
Portugal,2011,57.97
Romania,2011,47.44
Slovakia,2011,70.78
Slovenia,2011,72.6
Spain,2011,62.71
Sweden,2011,90.64
United Kingdom,2011,82.7
Austria,2012,79.28
Belgium,2012,77.71
Bulgaria,2012,50.92
Croatia,2012,66.41
Cyprus,2012,61.82
