Last internet use,Age and education,Country,Year,Value
between 3 and 12 months ago,Individuals aged 16-24 with high formal education,Austria,2005,2.62
between 3 and 12 months ago,Individuals aged 16-24 with low education,Austria,2005,4.33
between 3 and 12 months ago,Individuals aged 16-24 with medium formal education,Austria,2005,5.14
between 3 and 12 months ago,Individuals aged 25 to 54 with high formal education,Austria,2005,1.65
between 3 and 12 months ago,Individuals aged 25 to 54 with low formal education,Austria,2005,3.42
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Austria,2005,3.19
between 3 and 12 months ago,Individuals aged 55 to 74 with high formal education,Austria,2005,3.45
between 3 and 12 months ago,Individuals aged 55 to 74 with low formal education,Austria,2005,0.39
between 3 and 12 months ago,Individuals aged 55 to 74 with medium formal education,Austria,2005,2.8
in last 3 months,Individuals aged 16-24 with high formal education,Austria,2005,96.02
in last 3 months,Individuals aged 16-24 with low education,Austria,2005,82.17
in last 3 months,Individuals aged 16-24 with medium formal education,Austria,2005,84.19
in last 3 months,Individuals aged 25 to 54 with high formal education,Austria,2005,89.26
in last 3 months,Individuals aged 25 to 54 with low formal education,Austria,2005,27.98
in last 3 months,Individuals aged 25 to 54 with medium formal education,Austria,2005,65.29
in last 3 months,Individuals aged 55 to 74 with high formal education,Austria,2005,43.9
in last 3 months,Individuals aged 55 to 74 with low formal education,Austria,2005,5.12
in last 3 months,Individuals aged 55 to 74 with medium formal education,Austria,2005,23.45
more than a year ago,Individuals aged 16-24 with high formal education,Austria,2005,0.96
more than a year ago,Individuals aged 16-24 with low education,Austria,2005,0.98
more than a year ago,Individuals aged 16-24 with medium formal education,Austria,2005,2.97
more than a year ago,Individuals aged 25 to 54 with high formal education,Austria,2005,1.29
more than a year ago,Individuals aged 25 to 54 with low formal education,Austria,2005,2.97
more than a year ago,Individuals aged 25 to 54 with medium formal education,Austria,2005,2.28
more than a year ago,Individuals aged 55 to 74 with high formal education,Austria,2005,4.02
more than a year ago,Individuals aged 55 to 74 with low formal education,Austria,2005,0.7
more than a year ago,Individuals aged 55 to 74 with medium formal education,Austria,2005,2.12
Internet use: never,Individuals aged 16-24 with high formal education,Austria,2005,0.4
Internet use: never,Individuals aged 16-24 with low education,Austria,2005,12.52
Internet use: never,Individuals aged 16-24 with medium formal education,Austria,2005,7.7
Internet use: never,Individuals aged 25 to 54 with high formal education,Austria,2005,7.79
Internet use: never,Individuals aged 25 to 54 with low formal education,Austria,2005,65.63
Internet use: never,Individuals aged 25 to 54 with medium formal education,Austria,2005,29.24
Internet use: never,Individuals aged 55 to 74 with high formal education,Austria,2005,48.63
Internet use: never,Individuals aged 55 to 74 with low formal education,Austria,2005,93.8
Internet use: never,Individuals aged 55 to 74 with medium formal education,Austria,2005,71.63
between 3 and 12 months ago,Individuals aged 16-24 with high formal education,Belgium,2005,0.0
between 3 and 12 months ago,Individuals aged 16-24 with low education,Belgium,2005,1.92
between 3 and 12 months ago,Individuals aged 16-24 with medium formal education,Belgium,2005,3.18
between 3 and 12 months ago,Individuals aged 25 to 54 with high formal education,Belgium,2005,2.2
between 3 and 12 months ago,Individuals aged 25 to 54 with low formal education,Belgium,2005,2.82
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Belgium,2005,3.2
between 3 and 12 months ago,Individuals aged 55 to 74 with high formal education,Belgium,2005,1.77
between 3 and 12 months ago,Individuals aged 55 to 74 with low formal education,Belgium,2005,0.92
between 3 and 12 months ago,Individuals aged 55 to 74 with medium formal education,Belgium,2005,1.38
in last 3 months,Individuals aged 16-24 with high formal education,Belgium,2005,91.49
in last 3 months,Individuals aged 16-24 with low education,Belgium,2005,80.22
in last 3 months,Individuals aged 16-24 with medium formal education,Belgium,2005,84.71
in last 3 months,Individuals aged 25 to 54 with high formal education,Belgium,2005,88.59
in last 3 months,Individuals aged 25 to 54 with low formal education,Belgium,2005,43.56
in last 3 months,Individuals aged 25 to 54 with medium formal education,Belgium,2005,64.25
in last 3 months,Individuals aged 55 to 74 with high formal education,Belgium,2005,61.44
in last 3 months,Individuals aged 55 to 74 with low formal education,Belgium,2005,12.41
in last 3 months,Individuals aged 55 to 74 with medium formal education,Belgium,2005,31.78
more than a year ago,Individuals aged 16-24 with high formal education,Belgium,2005,2.04
more than a year ago,Individuals aged 16-24 with low education,Belgium,2005,2.35
more than a year ago,Individuals aged 16-24 with medium formal education,Belgium,2005,0.58
more than a year ago,Individuals aged 25 to 54 with high formal education,Belgium,2005,1.51
more than a year ago,Individuals aged 25 to 54 with low formal education,Belgium,2005,1.42
more than a year ago,Individuals aged 25 to 54 with medium formal education,Belgium,2005,2.19
more than a year ago,Individuals aged 55 to 74 with high formal education,Belgium,2005,2.19
more than a year ago,Individuals aged 55 to 74 with low formal education,Belgium,2005,0.71
more than a year ago,Individuals aged 55 to 74 with medium formal education,Belgium,2005,1.36
Internet use: never,Individuals aged 16-24 with high formal education,Belgium,2005,6.46
Internet use: never,Individuals aged 16-24 with low education,Belgium,2005,15.5
Internet use: never,Individuals aged 16-24 with medium formal education,Belgium,2005,11.52
Internet use: never,Individuals aged 25 to 54 with high formal education,Belgium,2005,7.69
Internet use: never,Individuals aged 25 to 54 with low formal education,Belgium,2005,52.2
Internet use: never,Individuals aged 25 to 54 with medium formal education,Belgium,2005,30.35
Internet use: never,Individuals aged 55 to 74 with high formal education,Belgium,2005,34.61
Internet use: never,Individuals aged 55 to 74 with low formal education,Belgium,2005,85.96
Internet use: never,Individuals aged 55 to 74 with medium formal education,Belgium,2005,65.48
between 3 and 12 months ago,Individuals aged 16-24 with high formal education,Cyprus,2005,0.0
between 3 and 12 months ago,Individuals aged 16-24 with low education,Cyprus,2005,5.53
between 3 and 12 months ago,Individuals aged 16-24 with medium formal education,Cyprus,2005,5.76
between 3 and 12 months ago,Individuals aged 25 to 54 with high formal education,Cyprus,2005,1.96
between 3 and 12 months ago,Individuals aged 25 to 54 with low formal education,Cyprus,2005,0.25
between 3 and 12 months ago,Individuals aged 25 to 54 with medium formal education,Cyprus,2005,1.74
between 3 and 12 months ago,Individuals aged 55 to 74 with high formal education,Cyprus,2005,0.0
between 3 and 12 months ago,Individuals aged 55 to 74 with low formal education,Cyprus,2005,0.0
between 3 and 12 months ago,Individuals aged 55 to 74 with medium formal education,Cyprus,2005,1.88
