DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Andorra,2019,55262,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Albania,2014,1979307,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Albania,2015,1977828,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Albania,2016,1976078,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Albania,2017,1976530,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Albania,2018,1974207,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Albania,2019,1965787,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Albania,2020,1947069,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Albania,2021,1930844,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Albania,2022,1898279,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Albania,2023,1864062,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Armenia,2015,2104872,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Armenia,2016,2081399,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Armenia,2017,2054732,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Armenia,2018,2028482,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Armenia,2019,2012049,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Armenia,2020,1995082,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Armenia,2021,1991866,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Armenia,2023,1981374,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Austria,2014,5732284,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Austria,2015,5774985,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Austria,2016,5848657,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Austria,2017,5883608,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Austria,2018,5902273,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Austria,2019,5911524,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Austria,2020,5924377,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Austria,2021,5930889,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Austria,2022,5941650,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Austria,2023,6009025,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Azerbaijan,2014,6804835,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Azerbaijan,2015,6869552,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Azerbaijan,2016,6921261,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Azerbaijan,2017,6969695,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Azerbaijan,2018,7015694,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Azerbaijan,2019,7064107,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Azerbaijan,2020,7090522,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Azerbaijan,2021,7102141,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Azerbaijan,2022,7105902,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Azerbaijan,2023,7050724,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2014,7286350,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2015,7295584,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2016,7326873,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2017,7328664,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2018,7333992,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2019,7350494,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2020,7375684,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,Belgium,2021,7389952,,
