DATAFLOW,LAST UPDATE,freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Albania,2018,28.01,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Albania,2019,34.40,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Albania,2020,37.53,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Albania,2021,44.19,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Albania,2022,51.21,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Albania,2023,52.95,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,2013,67.39,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,2014,68.87,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,2015,61.96,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,2016,70.33,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,2017,62.54,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,2018,60.79,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,2019,61.77,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,2020,67.38,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,2021,70.90,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,2022,75.98,,
ESTAT:TIN00095(1.0),17/12/24 11:00:00,Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,2023,76.32,,
