DATAFLOW,LAST UPDATE,freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Albania,2018,1.31,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Albania,2019,0.54,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Albania,2020,0.61,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Albania,2021,0.54,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Albania,2022,4.33,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Albania,2023,5.26,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2013,12.35,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2014,11.20,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2015,10.47,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2016,11.04,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2017,13.13,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2018,13.86,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2019,12.07,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2020,14.98,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2021,27.74,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2022,27.01,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2023,29.73,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Austria,2024,27.84,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Bosnia and Herzegovina,2018,7.50,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Bosnia and Herzegovina,2019,7.78,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Bosnia and Herzegovina,2020,8.36,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Bosnia and Herzegovina,2021,12.49,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Bosnia and Herzegovina,2023,12.89,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Bosnia and Herzegovina,2024,18.79,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Belgium,2013,18.75,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Belgium,2014,19.63,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Belgium,2015,18.61,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Belgium,2016,20.36,,
ESTAT:TIN00098(1.0),17/12/24 11:00:00,Annual,Internet use: selling goods or services,Percentage of individuals,All individuals,Belgium,2017,20.13,,
