DATAFLOW,LAST UPDATE,freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2018,53.46,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2019,59.68,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2020,63.69,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2021,72.78,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2022,81.51,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2023,82.99,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2013,63.01,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2014,64.19,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2015,68.44,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2016,71.95,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2017,73.67,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2018,75.63,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2019,79.90,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2020,81.38,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2021,81.17,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2022,81.89,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2023,84.40,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2024,84.46,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2018,61.20,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2019,64.98,,
ESTAT:TIN00092(1.0),17/12/24 11:00:00,A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2020,67.44,,
