DATAFLOW,LAST UPDATE,freq,ind_type,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Albania,2020,5.63,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Albania,2021,9.55,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Albania,2022,13.59,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Albania,2023,16.33,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Austria,2020,55.58,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Austria,2021,54.16,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Austria,2022,56.82,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Austria,2023,62.41,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Austria,2024,64.07,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Bosnia and Herzegovina,2020,17.99,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Bosnia and Herzegovina,2021,20.72,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Bosnia and Herzegovina,2023,25.52,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Bosnia and Herzegovina,2024,34.78,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Belgium,2020,64.64,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Belgium,2021,66.13,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Belgium,2022,62.60,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Belgium,2023,64.97,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Belgium,2024,65.67,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Bulgaria,2020,15.61,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Bulgaria,2021,19.58,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Bulgaria,2022,23.92,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Bulgaria,2023,26.94,,
ESTAT:ISOC_EC_IB20(1.0),17/12/24 11:00:00,Annual,All individuals,Last online purchase: in the last 3 months,Percentage of individuals,Bulgaria,2024,33.34,,
