freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2018,53.46
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2019,59.68
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2020,63.69
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2021,72.78
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2022,81.51
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AL:Albania,2023,82.99
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2013,63.01
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2014,64.19
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2015,68.44
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2016,71.95
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2017,73.67
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2018,75.63
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2019,79.9
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2020,81.38
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2021,81.17
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2022,81.89
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2023,84.4
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,AT:Austria,2024,84.46
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2018,61.2
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2019,64.98
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2020,67.44
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2021,71.42
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2023,80.38
A:Annual,I_IDAY:Frequency of internet access: daily,PC_IND:Percentage of individuals,IND_TOTAL:All individuals,BA:Bosnia and Herzegovina,2024,84.72
