Country,Years,percentage
Albania,2018,53.46
Albania,2019,59.68
Albania,2020,63.69
Albania,2021,72.78
Albania,2022,81.51
Albania,2023,82.99
Austria,2013,63.01
Austria,2014,64.19
Austria,2015,68.44
Austria,2016,71.95
Austria,2017,73.67
Austria,2018,75.63
Austria,2019,79.9
Austria,2020,81.38
Austria,2021,81.17
Austria,2022,81.89
Austria,2023,84.4
Austria,2024,84.46
Bosnia and Herzegovina,2018,61.2
Bosnia and Herzegovina,2019,64.98
Bosnia and Herzegovina,2020,67.44
Bosnia and Herzegovina,2021,71.42
Bosnia and Herzegovina,2023,80.38
Bosnia and Herzegovina,2024,84.72
Belgium,2013,68.32
Belgium,2014,71.15
Belgium,2015,73.32
Belgium,2016,74.14
Belgium,2017,76.2
Belgium,2018,82.17
Belgium,2019,84.58
Belgium,2020,84.48
Belgium,2021,86.2
Belgium,2022,88.65
Belgium,2023,89.75
Belgium,2024,92.77
Bulgaria,2013,42.51
Bulgaria,2014,45.52
Bulgaria,2015,46.48
Bulgaria,2016,48.59
Bulgaria,2017,54.04
Bulgaria,2018,55.31
Bulgaria,2019,59.77
Bulgaria,2020,61.76
Bulgaria,2021,67.42
Bulgaria,2022,74.87
Bulgaria,2023,76.74
Bulgaria,2024,78.79
Switzerland,2014,75.91
Switzerland,2017,82.04
Switzerland,2019,89.02
Switzerland,2021,91.35
Switzerland,2023,94.83
Cyprus,2013,53.14
Cyprus,2014,55.91
Cyprus,2015,62.77
Cyprus,2016,68.52
Cyprus,2017,74.15
Cyprus,2018,76.79
Cyprus,2019,79.19
Cyprus,2020,88.36
Cyprus,2021,88.56
Cyprus,2022,88.06
Cyprus,2023,90.77
Cyprus,2024,93.92
Czechia,2013,54.34
Czechia,2014,60.35
Czechia,2015,62.72
Czechia,2016,65.13
Czechia,2017,68.27
Czechia,2018,75.45
Czechia,2019,76.1
Czechia,2020,79.35
Czechia,2021,80.54
Czechia,2022,84.15
Czechia,2023,84.66
Czechia,2024,86.58
Germany,2013,68.55
Germany,2014,72.09
Germany,2015,75.43
Germany,2016,77.79
Germany,2017,79.48
Germany,2018,83.54
Germany,2019,85.11
Germany,2020,88.08
Germany,2021,81.77
Germany,2022,85.0
Germany,2023,86.3
Germany,2024,88.0
Denmark,2013,84.33
Denmark,2014,85.0
Denmark,2015,87.29
Denmark,2016,89.34
Denmark,2017,91.36
Denmark,2018,91.69
Denmark,2019,92.09
Denmark,2020,93.79
Denmark,2021,94.68
Denmark,2022,93.54
Denmark,2023,95.19
Denmark,2024,96.52
Estonia,2013,62.67
Estonia,2014,72.6
Estonia,2015,77.38
Estonia,2016,77.08
Estonia,2017,79.39
Estonia,2018,81.83
Estonia,2019,83.2
Estonia,2020,83.89
Estonia,2021,84.94
Estonia,2022,86.71
Estonia,2023,89.02
Estonia,2024,88.64
Greece,2013,46.69
Greece,2014,48.85
Greece,2015,54.59
Greece,2016,56.67
Greece,2017,59.43
Greece,2018,61.01
Greece,2019,64.5
Greece,2020,68.7
Greece,2021,70.16
Greece,2022,77.27
Greece,2023,80.02
Greece,2024,82.53
Spain,2013,53.85
Spain,2014,59.96
Spain,2015,64.25
Spain,2016,66.79
Spain,2017,68.98
Spain,2018,72.08
Spain,2019,77.61
Spain,2020,83.07
Spain,2021,85.83
Spain,2022,87.11
Spain,2023,89.98
Spain,2024,91.54
European Union - 27 countries (from 2020),2013,59.5
European Union - 27 countries (from 2020),2014,62.7
European Union - 27 countries (from 2020),2015,65.36
European Union - 27 countries (from 2020),2016,68.53
European Union - 27 countries (from 2020),2017,70.63
European Union - 27 countries (from 2020),2018,74.07
European Union - 27 countries (from 2020),2019,76.95
European Union - 27 countries (from 2020),2020,79.69
European Union - 27 countries (from 2020),2021,80.41
European Union - 27 countries (from 2020),2022,83.93
European Union - 27 countries (from 2020),2023,85.87
European Union - 27 countries (from 2020),2024,88.3
Finland,2013,79.76
Finland,2014,81.26
Finland,2015,84.05
Finland,2016,85.21
Finland,2017,87.19
Finland,2018,87.93
Finland,2019,89.82
Finland,2020,91.94
Finland,2021,92.54
Finland,2022,91.71
Finland,2023,92.84
Finland,2024,87.66
France,2013,66.28
France,2014,67.79
France,2015,67.84
France,2016,70.4
France,2017,70.25
France,2018,75.24
France,2019,77.32
France,2021,77.69
France,2022,82.46
France,2023,84.08
France,2024,87.87
Croatia,2013,53.41
Croatia,2014,55.74
Croatia,2015,59.51
Croatia,2016,63.41
Croatia,2017,57.51
Croatia,2018,66.1
Croatia,2019,71.39
Croatia,2020,73.66
Croatia,2021,76.34
Croatia,2022,76.89
Croatia,2023,78.61
Croatia,2024,79.96
Hungary,2013,61.7
Hungary,2014,65.61
Hungary,2015,63.14
Hungary,2016,70.68
Hungary,2017,68.68
Hungary,2018,68.69
Hungary,2019,75.21
Hungary,2020,78.58
Hungary,2021,82.29
Hungary,2022,85.0
Hungary,2023,88.28
Hungary,2024,90.36
Ireland,2013,61.27
Ireland,2014,64.64
Ireland,2015,66.97
Ireland,2016,69.57
Ireland,2017,70.18
Ireland,2018,73.84
Ireland,2019,82.51
Ireland,2020,83.72
Ireland,2021,94.65
Ireland,2022,89.8
Ireland,2023,90.93
Ireland,2024,98.26
Iceland,2013,90.67
Iceland,2014,93.52
Iceland,2017,95.78
Iceland,2018,96.09
Iceland,2019,96.97
Iceland,2020,97.64
Iceland,2021,97.71
Italy,2013,54.44
Italy,2014,58.11
Italy,2015,62.14
Italy,2016,65.87
Italy,2017,68.0
Italy,2018,71.49
Italy,2019,72.79
Italy,2020,75.58
Italy,2021,78.93
