Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh.1,Biofuels consumption - TWh.1,Solar consumption - TWh.1,Wind consumption - TWh.1,Hydro consumption - TWh.1,Nuclear consumption - TWh.1,Gas consumption - TWh.1,Coal consumption - TWh.1,Oil consumption - TWh.1
Austria,AUT,2000.0,1.234549861520916,0.0,0.0022448452044537,0.0501348705812354,31.30484070401141,0.0,19.79021867404244,10.747273430504755,36.8707376141348,4.8785796,0.0,0.008870971,0.19811833,123.707565,0.0,78.20515,42.470078,145.70236
Austria,AUT,2001.0,1.3094151515487888,0.0,0.0036126856645851,0.1242763318682252,29.23057889517616,0.0,20.38448035616695,10.791859006353292,38.155777573222,5.3239965,0.0,0.014688944,0.50529945,118.849625,0.0,82.881966,43.878994,155.1389
Austria,AUT,2002.0,1.192737921062422,0.0,0.0064571490691417,0.1456446271655627,28.86131661494824,0.0,20.029432651712806,10.957873040728083,38.80653799531375,4.8523936,0.0,0.0262695,0.59252334,117.41596,0.0,81.48537,44.579712,157.87592
Austria,AUT,2003.0,1.3400848522543234,0.0,0.0106699927296548,0.2603472807393221,23.626868458844896,0.0,21.984038906285907,11.662318315572255,41.11567219357364,5.463574,0.0,0.043501943,1.0614452,96.32759,0.0,89.629715,47.54769,167.63007
Austria,AUT,2004.0,1.5561863461622347,0.0,0.0122780945690181,0.6302756319899903,25.07616009650149,0.0,21.42046072022287,11.025088112391623,40.279550998162776,6.574225,0.0,0.051869724,2.6626463,105.936104,0.0,90.49233,46.576305,170.16396
Austria,AUT,2005.0,1.805589217350017,0.1673822573845346,0.0139525087740359,0.8837358226553705,24.62470980767383,0.0,22.08810230276102,10.833550233966625,39.58297784943457,7.7884116,0.7220036,0.060184166,3.8119957,106.21872,0.0,95.27706,46.730534,170.74123
Austria,AUT,2006.0,2.43938092897016,0.6792969217953388,0.0149577355330368,1.1711244561809917,23.82352491757321,0.0,21.023578322362127,10.960013061116388,39.88812365646874,10.388463,2.892886,0.06369972,4.987406,101.45599,0.0,89.532005,46.67483,169.86945
Austria,AUT,2007.0,3.099574695512848,0.8197595116450216,0.0163157707324509,1.371306533705633,24.94275902126276,0.0,20.16564895441399,10.723307537164905,38.8613279755624,13.020247,3.4435277,0.06853694,5.760387,104.77595,0.0,84.708954,45.044926,163.24307
Austria,AUT,2008.0,3.1411764322573585,0.9104791696254916,0.0199355967985613,1.3312010819443885,25.36933267433336,0.0,21.35987773074024,10.487319774717346,37.38067753958325,13.336185,3.8655322,0.08463861,5.65175,107.70809,0.0,90.68554,44.524986,158.70348
Austria,AUT,2009.0,3.345504239194115,1.1990871041281552,0.033336459490686,1.3317324459123543,27.871957727924244,0.0,21.553218343660426,8.165697111822618,36.499466567867415,13.708953,4.913528,0.13660361,5.457072,114.21159,0.0,88.31914,33.460773,149.56474
Austria,AUT,2010.0,3.407495532838517,1.2307830792992405,0.0584753679317162,1.358899752949268,25.25882763364716,0.0,22.80304169541492,9.332910280885844,36.54956665703333,14.364581,5.1884685,0.24650778,5.728555,106.48069,0.0,96.12812,39.34366,154.07774
Austria,AUT,2011.0,3.686792348876184,1.2897805587905753,0.1213025161174573,1.3492870614215944,23.85853978241443,0.0,22.84041114442543,10.208198323948112,36.64568826400622,14.594862,5.1058393,0.48019886,5.341407,94.448524,0.0,90.41807,40.411076,145.06886
Austria,AUT,2012.0,3.6136623968370585,1.2834996405193675,0.2232990997779641,1.6290269236190644,29.01227978133681,0.0,20.81103567703771,9.078376306763026,34.348820174108994,14.9751,5.318852,0.9253566,6.750725,120.227554,0.0,86.24141,37.621,142.3423
Austria,AUT,2013.0,3.6597033329341135,1.270149860602232,0.4152441909142706,2.0917181278551102,27.872084975267487,0.0,19.95963046052559,9.28106906805882,35.45039998384237,15.035977,5.2184405,1.7060405,8.593873,114.513115,0.0,82.00461,38.13149,145.6488
Austria,AUT,2014.0,3.687376160696122,1.306021973867445,0.5387100954728997,2.6383505660089037,28.1326037946899,0.0,19.02046345827696,8.868659393245718,35.80781455774205,14.561051,5.15734,2.1273081,10.418562,111.09262,0.0,75.10976,35.02138,141.4012
Austria,AUT,2015.0,3.754959310463261,1.3504408347446988,0.6366513033359155,3.288461270170284,25.243857062267743,0.0,20.10199826062268,9.586441384011124,36.03719057438429,14.884029,5.352921,2.523579,13.034909,100.062416,0.0,79.68095,37.999046,142.84538
Austria,AUT,2016.0,3.7369043821248313,1.3097801379676597,0.7162378126337074,3.420925605443484,26.12095484356909,0.0,20.364134801466584,8.65315165593197,35.677910760862666,15.3082695,5.3655286,2.934076,14.013859,107.004776,0.0,83.4219,35.44773,146.15495
Austria,AUT,2017.0,3.7714724981822014,1.281636916570578,0.808753332092089,4.188220998802144,24.40575583191278,0.0,21.72063074731618,8.756537122130537,35.06699255299348,15.748486,5.3517137,3.3771002,17.488697,101.91078,0.0,90.69854,36.564552,146.42876
Austria,AUT,2018.0,3.8638401470951127,1.2660747578804885,0.9426696076068728,3.9066572636916574,24.382744824733784,0.0,21.27050562646456,7.905189668859388,36.462318103668125,15.780004,5.1706758,3.8498824,15.95487,99.57964,0.0,86.86919,32.28496,148.91287
Austria,AUT,2019.0,3.482080957012322,1.2074292867431142,1.0483844248732714,4.588788537466096,25.14628322500589,0.0,20.797347963865143,7.931734185778592,35.797951419255554,14.901927,5.167319,4.48667,19.638197,107.61613,0.0,89.00441,33.94468,153.20105
Austria,AUT,2020.0,3.6706082703372647,1.15503566073044,1.3408509638380337,4.457524860163418,27.56481495609032,0.0,21.310445984275034,7.255350215667613,33.24536908889787,14.687721,4.6218066,5.3653355,17.836521,110.29897,0.0,85.272484,29.031853,133.02937
Austria,AUT,2021.0,3.531200476320501,1.1937288470264888,1.7932452460359791,4.343613179848944,24.973258132638527,0.0,22.20370258554107,7.428414651511196,34.53283688107728,14.337845,4.846935,7.2811704,17.63651,101.39971,0.0,90.154396,30.161827,140.21477
Austria,AUT,2022.0,3.9510371508332174,1.2125355337940975,2.603025224565723,4.973822990136946,23.32612188720271,0.0,20.83588731980576,7.540940864617644,35.556629029043904,15.004816,4.6048346,9.885484,18.88904,88.58539,0.0,79.12825,28.638159,135.03307
Austria,AUT,2023.0,3.7812808865518353,1.1577100807560612,3.48597821911282,5.425747678383586,26.22947824288957,0.0,17.88223808980204,6.948082107097785,35.0894846954063,14.5507765,4.4549932,13.41442,20.878862,100.93386,0.0,68.81278,26.736969,135.02812
Belgium,BEL,2000.0,0.243919520944219,0.0,0.0,0.0063647058698789,0.1829848415821228,18.38252415217263,20.886939110733472,11.93029311261413,48.36697455608356,1.813172,0.0,0.0,0.047311943,1.360215,136.64621,155.26274,88.68365,359.53516
Belgium,BEL,2001.0,0.2586311380565471,0.0,0.0,0.0147515455369566,0.1758226319852091,17.73229602926141,20.814843511551505,11.464128932024408,49.539526211583954,1.9057461,0.0,0.0,0.10869805,1.2955644,130.66197,153.37599,84.474434,365.03632
Belgium,BEL,2002.0,0.3137913286032284,0.0,0.0,0.0226829457471701,0.143260656164732,18.08525317358688,21.58565189111242,9.873065200874304,49.97629480391126,2.3015792,0.0,0.0,0.16637361,1.0507803,132.65071,158.32524,72.41641,366.56335
Belgium,BEL,2003.0,0.359163912680122,0.0,0.0,0.0335058205789184,0.0940447634947724,17.31059706757529,22.14359102114287,9.196523255779324,50.86257415874872,2.7357192,0.0,0.0,0.25521082,0.7163305,131.85326,168.66574,70.04909,387.41565
Belgium,BEL,2004.0,0.4329361205526247,0.0,0.0003768720825647,0.0535160923222778,0.119468972916421,17.110221341854476,22.479141135484397,8.521136928592457,51.28320253619478,3.3103158,0.0,0.002881639,0.4091947,0.91348356,130.82816,171.87999,65.15431,392.12158
Belgium,BEL,2005.0,0.6712717194145384,0.0,0.0003786998104874,0.0859647748638243,0.1090654171864083,17.295947653717626,22.342383496873374,7.91751622447785,51.577472013655886,5.075605,0.0,0.0028634167,0.64999497,0.82466304,130.77774,168.93474,59.86575,389.98645
Belgium,BEL,2006.0,0.9367277264506144,0.0,0.0007505271204341,0.1373465533801124,0.1347197107665659,16.796942568633906,22.93320592427713,7.791287622567728,51.26901936680351,7.1026545,0.0,0.005690805,1.041418,1.0215002,127.36132,173.88899,59.076744,388.74277
Belgium,BEL,2007.0,1.087107803155504,0.0,0.0022221888708772,0.181849140217077,0.144071954429552,17.1399049812856,22.94660969274348,7.071240676336299,51.42699356296161,8.299731,0.0,0.016965723,1.3883618,1.0999447,130.85786,175.19025,53.98673,392.62915
Belgium,BEL,2008.0,1.3699086281305677,0.0,0.015214299485453,0.2307500895348592,0.1485204721865833,15.839842003737196,22.432238364759243,6.872982231881858,53.09054391028424,10.626847,0.0,0.118022494,1.7900069,1.1521238,122.87504,174.0145,53.31606,411.8414
