Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
European Union (27),,1965,0.08855890018429807,0,0,0,6.624729405308558,0.13632180397356378,3.8828824367307924,48.60529436470802,40.66221308909477,8.372442,0,0,0,626.30817,12.887992,367.09137,4595.1904,3844.244
European Union (27),,1966,0.1203856371260049,0,0,0,6.971238598151746,0.16180108139887958,4.262281332489642,45.142430580982754,43.34186276985097,11.767883,0,0,0,681.4494,15.816307,416.64462,4412.7427,4236.7344
European Union (27),,1967,0.1270747904988848,0,0,0,6.496423877853031,0.1850885546297998,4.8979505658024545,42.794745816582335,45.498716394633504,12.851814,0,0,0,657.0212,18.719084,495.35828,4328.082,4601.5503
European Union (27),,1968,0.13320077937934582,0,0,0,6.186981356244508,0.199716014617151,5.80314268945107,40.674181149213304,47.00277801109463,14.424507,0,0,0,669.99725,21.627539,628.4308,4404.6665,5089.9995
European Union (27),,1969,0.1343995475716258,0,0,0,5.611114427452247,0.27696798249020327,6.737646523424425,38.4560228330117,48.78384868604979,15.75601,0,0,0,657.8056,32.46968,789.8719,4508.3,5719.058
European Union (27),,1970,0.16844159874805284,0,0,0,5.517722344981542,0.3786294795126109,7.605990419038706,35.52114797620474,50.80806818151435,21.188217,0,0,0,694.0726,47.627686,956.7552,4468.1943,6391.1313
European Union (27),,1971,0.16641203294807866,0,0,0,5.316900196820367,0.47969554311836304,8.73543777247214,33.411624660206215,51.889929794434835,21.585207,0,0,0,689.652,62.221027,1133.0685,4333.8022,6730.6123
European Union (27),,1972,0.15505854125324312,0,0,0,5.296932231567976,0.7119799020813977,9.809598165275485,31.1832585924243,52.843172567397595,21.19322,0,0,0,723.9785,97.31258,1340.7644,4262.0913,7222.543
European Union (27),,1973,0.15834372248875142,0,0,0,4.984261155381683,0.7869790701437583,10.651917570112047,29.546493507165334,53.872004974708425,22.877365,0,0,0,720.12177,113.70206,1538.9799,4268.852,7783.381
European Union (27),,1974,0.16851785235856426,0,0,0,5.436939385622354,0.92625114784643,12.048910782623594,30.212159790302255,51.207221041246804,24.10603,0,0,0,777.7397,132.49776,1723.5646,4321.769,7325.0566
European Union (27),,1975,0.17952500222531897,0,0,0,5.502004869965096,1.565721232589665,13.049542026627966,29.427062910772136,50.276143957819805,25.559042,0,0,0,783.3225,222.91232,1857.8682,4189.542,7157.8335
European Union (27),,1976,0.16943273326400907,0,0,0,4.520803617469137,1.726623015128274,13.42717614180758,29.103925064184885,51.05203942814612,25.618244,0,0,0,683.5459,261.06555,2030.1902,4400.516,7719.0728
