Entity,Code,Year,Population (historical)
Austria,AUT,1942,6758902
Austria,AUT,1943,6781747
Austria,AUT,1944,6804668
Austria,AUT,1945,6827667
Austria,AUT,1946,6850744
Austria,AUT,1947,6873899
Austria,AUT,1948,6897132
Austria,AUT,1949,6917983
Austria,AUT,1950,6936454
Austria,AUT,1951,6930485
Austria,AUT,1952,6927254
Austria,AUT,1953,6932082
Austria,AUT,1954,6939893
Austria,AUT,1955,6946661
Austria,AUT,1956,6952266
Austria,AUT,1957,6965837
Austria,AUT,1958,6987344
Austria,AUT,1959,7014269
Austria,AUT,1960,7047274
Austria,AUT,1961,7086061
Austria,AUT,1962,7129580
Austria,AUT,1963,7175502
Austria,AUT,1964,7223393
Austria,AUT,1965,7270413
Austria,AUT,1966,7321523
Austria,AUT,1967,7376293
Austria,AUT,1968,7414628
Austria,AUT,1969,7440308
Austria,AUT,1970,7466321
Austria,AUT,1971,7499636
Austria,AUT,1972,7543264
Austria,AUT,1973,7585107
Austria,AUT,1974,7597963
Austria,AUT,1975,7577832
Austria,AUT,1976,7564457
Austria,AUT,1977,7567332
Austria,AUT,1978,7561204
Austria,AUT,1979,7548345
Austria,AUT,1980,7548405
Austria,AUT,1981,7567550
Austria,AUT,1982,7573077
Austria,AUT,1983,7561166
Austria,AUT,1984,7560716
Austria,AUT,1985,7564311
Austria,AUT,1986,7569397
Austria,AUT,1987,7574314
Austria,AUT,1988,7585347
Austria,AUT,1989,7620406
Austria,AUT,1990,7679626
Austria,AUT,1991,7757140
Austria,AUT,1992,7842716
Austria,AUT,1993,7907492
Austria,AUT,1994,7938156
Austria,AUT,1995,7950322
Austria,AUT,1996,7960918
Austria,AUT,1997,7969802
Austria,AUT,1998,7978465
Austria,AUT,1999,7993895
Austria,AUT,2000,8012929
Austria,AUT,2001,8042232
Austria,AUT,2002,8081638
Austria,AUT,2003,8122605
Austria,AUT,2004,8173494
Austria,AUT,2005,8229204
Austria,AUT,2006,8269902
Austria,AUT,2007,8296949
Austria,AUT,2008,8323250
Austria,AUT,2009,8345072
Austria,AUT,2010,8365087
Austria,AUT,2011,8393272
Austria,AUT,2012,8431598
Austria,AUT,2013,8481411
Austria,AUT,2014,8547812
Austria,AUT,2015,8644037
Austria,AUT,2016,8737920
Austria,AUT,2017,8798780
Austria,AUT,2018,8841652
Austria,AUT,2019,8880875
Austria,AUT,2020,8921402
Austria,AUT,2021,8967053
Austria,AUT,2022,9064679
Austria,AUT,2023,9130434
Belgium,BEL,1942,8372598
Belgium,BEL,1943,8401573
Belgium,BEL,1944,8430648
Belgium,BEL,1945,8459824
