Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh.1,Biofuels consumption - TWh.1,Solar consumption - TWh.1,Wind consumption - TWh.1,Hydro consumption - TWh.1,Nuclear consumption - TWh.1,Gas consumption - TWh.1,Coal consumption - TWh.1,Oil consumption - TWh.1
Austria,AUT,2021.0,3.531200476320501,1.1937288470264888,1.7932452460359791,4.343613179848944,24.973258132638527,0.0,22.20370258554107,7.428414651511196,34.53283688107728,14.337845,4.846935,7.2811704,17.63651,101.39971,0.0,90.154396,30.161827,140.21477
Belgium,BEL,2021.0,2.028090452745535,1.1250399702538754,1.991040174027361,4.251918720219731,0.1481735938749011,17.114852102100972,22.971124047594497,4.183789487939586,46.185971451243546,14.974311,8.30668,14.700752,31.393843,1.0940328,126.36671,169.60622,30.890814,341.01196
Bulgaria,BGR,2021.0,3.7243970013945007,0.887878604041287,1.7294680462734715,1.6905095850781902,5.682989494474418,18.656437249343348,14.880873836926764,27.475230654806328,25.27221552766169,8.264272,1.9701633,3.837613,3.7511659,12.610302,41.397808,33.02,60.96632,56.077927
Croatia,HRV,2021.0,3.800162080590048,1.08160980387513,0.3963127404228952,5.487692843086251,18.971103982456263,0.0,28.73685907678138,4.913289984655844,36.61296948813221,3.7360184,1.0633531,0.3896233,5.395065,18.650887,0.0,28.251804,4.8303576,35.994972
Cyprus,CYP,2021.0,0.6411800165519564,0.8318453971253482,4.106594088790366,2.1612282775811105,0.0,0.0,0.0,1.6083324752915982,90.65081974465964,0.19134083,0.24823916,1.2254891,0.64495337,0.0,0.0,0.0,0.4799583,27.052002
Czechia,CZE,2021.0,3.6849266342085514,0.8997169041627916,1.207458802128884,0.3374898230372178,1.3522135943150784,16.54449988198704,19.44534479442607,32.30828892526339,24.220060640470983,17.186718,4.1963334,5.63166,1.5740727,6.306805,77.164536,90.69425,150.68779,112.96381
Denmark,DNK,2021.0,14.69133894134296,1.596328650534376,1.808030559668572,22.176120707091343,0.0225069749344058,0.0,12.50808924792141,6.54552810935484,40.65205680915209,27.830551,3.0240066,3.4250443,42.009354,0.042636108,0.0,23.69471,12.399527,77.00926
Estonia,EST,2021.0,9.142315354485456,0.7857772093314304,1.508608207730553,3.1152334871725587,0.0894938183441223,0.0,7.920348230056956,51.72473676239998,25.71348693047894,5.6134915,0.48247665,0.92630357,1.9127908,0.05495028,0.0,4.863189,31.75961,15.78839
Finland,FIN,2021.0,13.519016534297675,2.2652354345931847,0.2427984991917945,6.94217541010835,12.886823895061864,18.47976023477024,6.460434477411448,10.598254985366488,28.60550052919896,43.347343,7.2632456,0.77850854,22.259375,41.320282,59.25346,20.714722,33.98222,91.72061
France,FRA,2021.0,1.1366517541024503,1.3432855340053718,1.5012842148469587,3.730777068878752,5.917438361774098,36.726907956073205,16.595073306167343,2.893340218302407,30.155241585849435,29.480482,34.839787,38.93768,96.76236,153.47615,952.5582,430.41394,75.04239,782.11383
Germany,DEU,2021.0,4.525668859211549,0.9842693868525254,3.642372364971125,8.463458366646405,1.4511477244030044,4.897144920201915,25.88120405371475,17.546065224910887,32.608669099087855,160.416,34.888226,129.10684,299.99414,51.437107,173.58327,917.38025,621.9345,1155.8407
Greece,GRC,2021.0,0.5267351103212184,0.8550618334676823,4.5416425824278,9.066873244698709,5.105964632447583,0.0,23.072643678073536,6.580362229541769,50.25071668902171,1.5935644,2.5868716,13.740113,27.430574,15.4473915,0.0,69.8031,19.907978,152.02661
Hungary,HUN,2021.0,2.518657937107583,1.1590706311203711,3.4980153683418624,0.6118761171888786,0.1953580799300247,14.13944436612243,38.07037471000216,5.612851025375736,34.19435176481096,7.151939,3.2912776,9.932906,1.7374732,0.55473554,40.15013,108.104,15.938158,97.09771
Ireland,IRL,2021.0,1.769934738668082,1.15037158490473,0.115805645944168,14.258809852939576,1.09280228845223,0.0,28.411195489419672,7.646679759797711,45.55440063987383,3.1760771,2.0642958,0.2078086,25.586864,1.96099,0.0,50.982754,13.721661,81.74555
Italy,ITA,2021.0,4.281715872861325,0.7815153339793999,3.7045312533757833,3.0962033754958767,6.715204132641662,0.0,40.92105359642733,3.685488465878081,36.81428796934053,75.72716,13.822014,65.518974,54.759983,118.76625,0.0,723.73676,65.18218,651.1038
Latvia,LVA,2021.0,6.453982311315758,1.318219397849197,0.0417254505168127,0.8682475063476155,16.6226262649093,0.0,27.18696951479074,0.5252501145429047,46.98297943972765,2.7510226,0.5618936,0.017785555,0.3700922,7.085427,0.0,11.588499,0.22388889,20.026587
Lithuania,LTU,2021.0,3.1194179321411024,2.100149808713616,0.7117114368739407,5.079336929956725,1.4312561451310146,0.0,31.763366630674028,3.077040005234707,52.71772111127486,2.1882558,1.4732444,0.49926195,3.563129,1.0040189,0.0,22.28184,2.1585279,36.981213
Luxembourg,LUX,2021.0,2.869991359427456,3.6636220668359,1.091029739766247,1.903160865887645,0.6467452504227923,0.0,18.025603094837237,1.0610519343356102,70.73879568848712,1.2402736,1.583243,0.4714911,0.8224555,0.2794925,0.0,7.7898073,0.45853612,30.569939
Netherlands,NLD,2021.0,3.4349063381221745,0.9170261874338528,2.9152519724176305,4.654041313904184,0.0227569636014163,0.9473362073248528,34.33979089830513,6.417322014844366,46.35156810404639,34.851074,9.304285,29.578583,47.2206,0.23089556,9.611815,348.41666,65.11111,470.28995
Poland,POL,2021.0,2.10108645688414,0.990743759026977,0.84058858864281,3.4682716558084223,0.4997625415266761,0.0,18.267934115103245,43.204489794057615,30.62712308895012,25.733232,12.134217,10.295179,42.477947,6.1208835,0.0,223.73805,529.1506,375.10825
Portugal,PRT,2021.0,4.96810127270608,1.473400021522237,2.196681271495911,12.97647020043567,11.692069082883766,0.0,21.80563215751431,0.8535327245413382,44.0341132689007,13.239491,3.9264631,5.853935,34.58099,31.15819,0.0,58.10982,2.274579,117.34649
Romania,ROU,2021.0,0.5343209652547466,1.1941265289919842,1.1426068485194536,4.412086048432205,11.682321641498774,7.264967172069282,29.663764041224965,12.08380188539016,32.02200486861843,2.0838678,4.6571293,4.456201,17.207268,45.561405,28.33359,115.68957,47.12719,124.88678
Slovakia,SVK,2021.0,3.0152285987076093,0.9511336750636598,0.8993759835653296,0.0067017602392739,5.7072173699614135,20.23186201184812,27.111928965885102,16.752565262648098,25.32398637208139,5.8864245,1.8568332,1.7557902,0.013083388,11.14181,39.49728,52.928764,32.704887,49.438286
Slovenia,SVN,2021.0,1.1692228843112893,1.5558016720698007,1.5482117605602634,0.0191103629943631,16.10186701480876,18.70855666997412,11.76132687517923,14.085932980435292,35.04996977966687,0.89541334,1.1914628,1.1856503,0.014635083,12.331119,14.327372,9.00705,10.787278,26.84194
Spain,ESP,2021.0,1.4374914452571947,1.4572777631787155,4.633609130036938,10.612090467650738,5.065883297754341,9.281340608566598,22.430229888667604,2.3349642414209457,42.74711315746692,21.997494,22.300278,70.90671,162.39359,77.52167,142.02953,343.24298,35.731247,654.14606
Sweden,SWE,2021.0,6.590148184674031,2.241755812270644,0.6222912381137329,11.193952165398994,30.47209201255854,20.98737614359842,1.6772280019745438,2.9865289992599235,23.22862744215116,41.760418,14.205547,3.943332,70.93378,193.0954,132.9927,10.62825,18.925022,147.19505
