Country,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total energy consumption - TWh
Austria,1965,,,,,47.55726,0.0,17.528646,59.1149,65.29748,189.498286
Belgium,1965,,,,,0.8043011,0.0,0.73499995,222.93715,188.46475,412.94120105
Bulgaria,1965,,,,,5.9139786,0.0,0.562725,69.733475,43.71547,119.92564860000002
Cyprus,1965,,,,,0.0,0.0,,,4.68025,4.68025
Denmark,1965,,,,,0.07392472,0.0,,43.008904,123.12544,166.20826872
Finland,1965,,,,,27.658304,0.0,,20.259819,67.48548,115.403603
France,1965,0.0,,,,138.62688,2.5452507,50.046993,518.6519,637.3014,1347.1724236999999
Germany,1965,,,,,47.939327,0.33198917,30.975672,1869.4764,1020.56976,2969.29314817
Greece,1965,,,,,2.3685484,0.0,,24.504408,52.273228,79.14618440000001
Hungary,1965,,,,,0.22177416,0.0,13.597249,126.88329,44.27309,184.97540315999998
Ireland,1965,,,,,2.7855725,0.0,,36.35538,28.522163,67.6631155
Italy,1965,7.628659,,0.0,0.0,126.068275,9.959677,73.746994,100.32037,610.7382,928.4621750000001
Luxembourg,1965,,,,,0.25551942,0.0,0.0,31.716173,9.832363,41.80405542
Netherlands,1965,0.0,,0.0,0.0,0.0,0.0,15.0,103.05555,295.90454,413.96009
Poland,1965,0.08299722,0.0,0.0,0.0,2.6494625,0.0,17.132,691.764,64.42475,776.05320972
Portugal,1965,0.66078633,,0.0,0.0,11.754031,0.0,,6.8849597,30.529512,49.82928903
Romania,1965,,,,,2.971774,0.0,140.49026,50.702454,84.556404,278.72089200000005
Slovakia,1965,,0.0,,,6.573263,0.0,2.9852998,70.23055,27.047098,106.8362108
Spain,1965,0.0,,0.0,0.0,58.214245,0.0,,112.811005,166.38136,337.40661
Sweden,1965,0.0,0.0,0.0,0.0,137.27231,0.051075276,,25.92705,229.70325,392.953685276
Austria,1966,,,,,51.24758,0.0,18.821033,56.467594,71.78886,198.325067
Belgium,1966,,,,,0.88413966,0.017025083,1.3264999,203.37099,192.2603,397.858954643
Bulgaria,1966,,,,,5.943548,0.0,0.839475,71.908295,49.874107,128.565425
Cyprus,1966,,,,,0.0,0.0,,,5.338632,5.338632
Denmark,1966,,,,,0.07688166,0.0,,48.74482,140.2377,189.05940166
Finland,1966,,,,,30.695938,0.0,,18.804535,81.86467,131.365143
France,1966,1.2449596,,,,154.37988,3.9583333,52.7965,481.1507,683.123,1376.6533729
Germany,1966,,,,,51.84784,0.7519414,37.22992,1745.3394,1141.8322,2977.0013014
Greece,1966,,,,,5.115591,0.0,,24.45789,57.076584,86.650065
Hungary,1966,,,,,0.29569888,0.0,16.85625,121.684685,48.626213,187.46284688
Ireland,1966,,,,,2.5104542,0.0,,41.41443,31.881552,75.80643620000001
Italy,1966,9.76318,,0.0,0.0,129.27957,10.96132,80.52125,104.34436,673.43463,1008.30431
Luxembourg,1966,,,,,0.2299325,0.0,0.0,28.63771,11.189572,40.0572145
Netherlands,1966,0.0,,0.0,0.0,0.0,0.0,28.61111,93.888885,320.8774,443.37739500000004
Poland,1966,0.121303886,0.0,0.0,0.0,2.6494625,0.0,20.36575,701.03314,67.00852,791.178176386
Portugal,1966,0.63844085,,0.0,0.0,15.601074,0.0,,7.02452,31.292534,54.55656885
Romania,1966,,,,,3.0604837,0.0,151.4665,54.605526,88.13735,297.2698597
Slovakia,1966,,0.0,,,6.298833,0.0,3.3201,71.11373,29.85093,110.58359300000001
Spain,1966,0.0,,0.0,0.0,80.601616,0.0,,104.367615,196.83342,381.80265099999997
Sweden,1966,0.0,0.0,0.0,0.0,134.51048,0.12768805,,24.740416,259.65668,419.03526405
Austria,1967,,,,,52.332794,0.0,18.031683,53.450897,76.54811,200.36348399999997
Belgium,1967,,,,,0.7037633,0.26672637,5.0554996,199.59724,212.03163,417.65485927
Bulgaria,1967,,,,,5.9790325,0.0,2.555325,78.083824,62.72245,149.3406315
Cyprus,1967,,,,,0.0,0.0,,,5.7872543,5.7872543
Denmark,1967,,,,,0.07392472,0.0,,41.73309,148.31645,190.12346472000002
Finland,1967,,,,,34.38769,0.0,,18.091894,85.7726,138.252184
France,1967,1.9312836,,,,134.18124,5.890681,60.339252,474.75067,784.79,1461.8831266
Germany,1967,,,,,49.240704,3.4759557,47.988647,1681.3043,1187.4216,2969.4312067
Greece,1967,,,,,4.908602,0.0,,23.376299,67.11283,95.397731
Hungary,1967,,,,,0.24247305,0.0,21.634748,105.56551,51.44969,178.89242105
Ireland,1967,,,,,2.372895,0.0,,44.10096,35.69569,82.169545
Italy,1967,10.167171,,0.0,0.0,125.19892,8.943847,87.95325,114.34616,745.36487,1091.974218
Luxembourg,1967,,,,,0.25949636,0.0,0.0,26.833899,12.358044,39.451439359999995
Netherlands,1967,0.0,,0.0,0.0,0.0,0.0,50.555553,90.27777,327.9667,468.800023
Poland,1967,0.14045694,0.0,0.0,0.0,2.8298385,0.0,24.887749,713.72144,72.72036,814.2998444400001
Portugal,1967,0.6129033,,0.0,0.0,16.207258,0.0,,6.98963,34.5241,58.3338913
Romania,1967,,,,,4.364516,0.0,166.9824,60.51018,99.876396,331.733492
Slovakia,1967,,0.0,,,5.397133,0.0,3.9803998,68.57309,33.213135,111.16375779999998
Spain,1967,0.0,,0.0,0.0,66.996506,0.0,,106.06559,238.4801,411.542196
Sweden,1967,0.0,0.0,0.0,0.0,145.73817,0.14187583,,24.55678,258.7804,429.21722582999996
Austria,1968,,,,,53.772846,0.0,19.22897,52.77368,88.466064,214.24156
Belgium,1968,,,,,0.7215053,0.17308833,12.299,206.06418,246.15921,465.41698363
Bulgaria,1968,,,,,3.8588707,0.0,3.9114,84.82922,74.33811,166.93760070000002
Cyprus,1968,,,,,0.0,0.0,,,6.4272513,6.4272513
Denmark,1968,,,,,0.062096667,0.0,,37.392773,161.21199,198.66685966699998
Finland,1968,,,,,31.015532,0.0,,21.788618,97.22671,150.03086
France,1968,2.955981,,,,149.0991,8.753734,72.156494,455.15802,850.43164,1538.554969
Germany,1968,,,,,49.97013,5.011051,78.86974,1705.4391,1331.1227,3170.412721
Greece,1968,,,,,4.0451612,0.0,,26.400099,68.693054,99.1383142
Hungary,1968,,,,,0.26317194,0.0,27.228998,104.19316,53.92054,185.60586994
Ireland,1968,,,,,2.2697256,0.0,,53.85853,39.704014,95.8322696
Italy,1968,10.59067,,0.0,0.0,126.195435,7.3094387,103.293495,110.74086,821.8543,1179.9841987
Luxembourg,1968,,,,,0.26504084,0.0,0.0,28.762152,13.641634,42.66882684
Netherlands,1968,0.0,,0.0,0.0,0.0,0.079450555,85.0,85.55555,353.7581,524.393100555
Poland,1968,0.15003361,0.0,0.0,0.0,2.971774,0.0,34.191998,748.0648,90.988075,876.36668061
Portugal,1968,0.7278225,,0.0,0.0,15.34086,0.0,,6.29183,37.036827,59.3973395
Romania,1968,,,,,4.6188173,0.0,176.6879,66.339775,105.33326,352.9797523
Slovakia,1968,,0.0,,,4.952817,0.0,8.9115,72.11788,36.70286,122.685057
Spain,1968,0.0,,0.0,0.0,72.11505,0.23551361,,107.36816,253.3006,433.01932361
Sweden,1968,0.0,0.0,0.0,0.0,144.1207,0.06526277,,21.454315,292.71014,458.35041777000004
Austria,1969,,,,,49.434944,0.0,23.329157,51.936398,97.22599,221.926489
Belgium,1969,,,,,0.6801075,0.062425278,25.335,200.69034,284.00696,510.774832778
