state_code,year,month,value,country
1,1895,1,43.1,Alabama
1,1895,2,37.4,Alabama
1,1895,3,54.5,Alabama
1,1895,4,63.4,Alabama
1,1895,5,69.5,Alabama
1,1895,6,77.5,Alabama
1,1895,7,79.2,Alabama
1,1895,8,79.5,Alabama
1,1895,9,77.8,Alabama
1,1895,10,59.7,Alabama
1,1895,11,53.2,Alabama
1,1895,12,44.9,Alabama
1,1896,1,43.5,Alabama
1,1896,2,47.7,Alabama
1,1896,3,52.5,Alabama
1,1896,4,68.0,Alabama
1,1896,5,75.9,Alabama
1,1896,6,77.4,Alabama
1,1896,7,81.2,Alabama
1,1896,8,82.2,Alabama
1,1896,9,75.9,Alabama
1,1896,10,63.2,Alabama
1,1896,11,57.3,Alabama
1,1896,12,46.4,Alabama
1,1897,1,41.8,Alabama
1,1897,2,51.1,Alabama
1,1897,3,60.2,Alabama
1,1897,4,62.4,Alabama
1,1897,5,69.0,Alabama
1,1897,6,81.2,Alabama
1,1897,7,81.5,Alabama
1,1897,8,78.8,Alabama
1,1897,9,75.6,Alabama
1,1897,10,67.1,Alabama
1,1897,11,54.2,Alabama
1,1897,12,47.4,Alabama
1,1898,1,49.0,Alabama
1,1898,2,46.1,Alabama
1,1898,3,59.2,Alabama
1,1898,4,58.8,Alabama
1,1898,5,74.1,Alabama
1,1898,6,80.4,Alabama
1,1898,7,80.0,Alabama
1,1898,8,78.8,Alabama
1,1898,9,75.2,Alabama
1,1898,10,61.0,Alabama
1,1898,11,49.8,Alabama
1,1898,12,43.4,Alabama
1,1899,1,43.8,Alabama
1,1899,2,40.0,Alabama
1,1899,3,55.6,Alabama
1,1899,4,61.7,Alabama
1,1899,5,76.1,Alabama
1,1899,6,79.9,Alabama
1,1899,7,80.4,Alabama
1,1899,8,80.9,Alabama
1,1899,9,72.8,Alabama
1,1899,10,66.0,Alabama
1,1899,11,55.3,Alabama
1,1899,12,44.7,Alabama
1,1900,1,43.6,Alabama
1,1900,2,44.4,Alabama
1,1900,3,52.9,Alabama
1,1900,4,64.2,Alabama
1,1900,5,71.4,Alabama
1,1900,6,76.3,Alabama
1,1900,7,79.8,Alabama
1,1900,8,81.2,Alabama
1,1900,9,77.6,Alabama
1,1900,10,68.2,Alabama
1,1900,11,54.7,Alabama
1,1900,12,46.6,Alabama
1,1901,1,46.0,Alabama
1,1901,2,43.1,Alabama
1,1901,3,53.3,Alabama
1,1901,4,58.1,Alabama
1,1901,5,70.6,Alabama
1,1901,6,78.8,Alabama
1,1901,7,82.4,Alabama
1,1901,8,78.7,Alabama
1,1901,9,72.4,Alabama
1,1901,10,62.5,Alabama
1,1901,11,48.7,Alabama
1,1901,12,42.1,Alabama
1,1902,1,43.2,Alabama
1,1902,2,40.8,Alabama
1,1902,3,55.1,Alabama
1,1902,4,62.1,Alabama
1,1902,5,75.7,Alabama
1,1902,6,81.2,Alabama
1,1902,7,83.1,Alabama
1,1902,8,82.3,Alabama
1,1902,9,73.6,Alabama
1,1902,10,63.1,Alabama
1,1902,11,57.6,Alabama
1,1902,12,45.2,Alabama
1,1903,1,43.4,Alabama
1,1903,2,48.2,Alabama
1,1903,3,59.5,Alabama
1,1903,4,61.1,Alabama
1,1903,5,69.8,Alabama
1,1903,6,73.6,Alabama
1,1903,7,80.4,Alabama
1,1903,8,80.6,Alabama
1,1903,9,73.2,Alabama
1,1903,10,63.2,Alabama
1,1903,11,50.6,Alabama
1,1903,12,40.1,Alabama
1,1904,1,41.1,Alabama
1,1904,2,48.9,Alabama
1,1904,3,58.1,Alabama
1,1904,4,60.0,Alabama
1,1904,5,70.2,Alabama
1,1904,6,78.1,Alabama
1,1904,7,78.6,Alabama
1,1904,8,78.6,Alabama
1,1904,9,77.0,Alabama
1,1904,10,64.6,Alabama
1,1904,11,52.1,Alabama
1,1904,12,45.9,Alabama
1,1905,1,38.6,Alabama
1,1905,2,39.1,Alabama
1,1905,3,59.1,Alabama
1,1905,4,63.7,Alabama
1,1905,5,74.5,Alabama
1,1905,6,79.4,Alabama
1,1905,7,79.8,Alabama
1,1905,8,79.4,Alabama
1,1905,9,76.2,Alabama
1,1905,10,63.7,Alabama
1,1905,11,55.4,Alabama
1,1905,12,42.7,Alabama
1,1906,1,46.2,Alabama
1,1906,2,45.1,Alabama
1,1906,3,50.9,Alabama
1,1906,4,64.9,Alabama
1,1906,5,69.9,Alabama
1,1906,6,79.1,Alabama
1,1906,7,79.2,Alabama
1,1906,8,80.5,Alabama
1,1906,9,78.3,Alabama
1,1906,10,60.6,Alabama
1,1906,11,55.0,Alabama
1,1906,12,49.6,Alabama
1,1907,1,53.6,Alabama
1,1907,2,48.3,Alabama
1,1907,3,64.3,Alabama
1,1907,4,58.1,Alabama
1,1907,5,68.3,Alabama
1,1907,6,75.6,Alabama
1,1907,7,81.2,Alabama
1,1907,8,80.5,Alabama
1,1907,9,75.2,Alabama
1,1907,10,63.3,Alabama
1,1907,11,51.0,Alabama
1,1907,12,45.3,Alabama
1,1908,1,43.4,Alabama
1,1908,2,44.0,Alabama
1,1908,3,62.2,Alabama
1,1908,4,67.4,Alabama
1,1908,5,71.8,Alabama
1,1908,6,78.0,Alabama
1,1908,7,80.3,Alabama
1,1908,8,79.7,Alabama
1,1908,9,74.5,Alabama
1,1908,10,60.3,Alabama
1,1908,11,56.8,Alabama
1,1908,12,50.1,Alabama
1,1909,1,49.6,Alabama
1,1909,2,50.2,Alabama
1,1909,3,55.9,Alabama
1,1909,4,63.1,Alabama
1,1909,5,69.0,Alabama
1,1909,6,78.2,Alabama
1,1909,7,80.4,Alabama
1,1909,8,81.0,Alabama
1,1909,9,75.3,Alabama
1,1909,10,63.2,Alabama
1,1909,11,59.5,Alabama
1,1909,12,40.8,Alabama
1,1910,1,45.3,Alabama
1,1910,2,44.9,Alabama
1,1910,3,60.6,Alabama
1,1910,4,61.7,Alabama
1,1910,5,69.0,Alabama
1,1910,6,75.5,Alabama
1,1910,7,78.8,Alabama
1,1910,8,79.6,Alabama
1,1910,9,77.4,Alabama
1,1910,10,66.4,Alabama
1,1910,11,50.9,Alabama
1,1910,12,41.9,Alabama
1,1911,1,49.9,Alabama
1,1911,2,54.2,Alabama
1,1911,3,57.7,Alabama
1,1911,4,63.5,Alabama
1,1911,5,72.7,Alabama
1,1911,6,80.7,Alabama
1,1911,7,78.1,Alabama
1,1911,8,79.0,Alabama
1,1911,9,80.2,Alabama
1,1911,10,68.5,Alabama
1,1911,11,50.1,Alabama
1,1911,12,49.3,Alabama
1,1912,1,40.2,Alabama
1,1912,2,42.7,Alabama
1,1912,3,52.3,Alabama
1,1912,4,64.4,Alabama
1,1912,5,72.0,Alabama
1,1912,6,75.1,Alabama
1,1912,7,79.7,Alabama
1,1912,8,79.1,Alabama
1,1912,9,76.9,Alabama
1,1912,10,65.9,Alabama
1,1912,11,50.2,Alabama
1,1912,12,46.9,Alabama
1,1913,1,51.2,Alabama
1,1913,2,46.8,Alabama
1,1913,3,55.0,Alabama
1,1913,4,62.0,Alabama
1,1913,5,71.4,Alabama
1,1913,6,77.8,Alabama
1,1913,7,81.3,Alabama
1,1913,8,80.6,Alabama
1,1913,9,73.2,Alabama
1,1913,10,60.8,Alabama
1,1913,11,55.8,Alabama
1,1913,12,47.4,Alabama
1,1914,1,47.0,Alabama
1,1914,2,45.4,Alabama
1,1914,3,50.0,Alabama
1,1914,4,63.8,Alabama
1,1914,5,71.6,Alabama
1,1914,6,83.1,Alabama
1,1914,7,81.8,Alabama
1,1914,8,79.2,Alabama
1,1914,9,73.2,Alabama
1,1914,10,63.8,Alabama
1,1914,11,52.3,Alabama
1,1914,12,42.8,Alabama
1,1915,1,42.5,Alabama
1,1915,2,47.8,Alabama
1,1915,3,46.4,Alabama
1,1915,4,64.3,Alabama
1,1915,5,74.3,Alabama
1,1915,6,78.5,Alabama
1,1915,7,80.4,Alabama
1,1915,8,79.1,Alabama
1,1915,9,76.4,Alabama
1,1915,10,66.3,Alabama
1,1915,11,56.3,Alabama
1,1915,12,46.1,Alabama
1,1916,1,51.8,Alabama
1,1916,2,46.8,Alabama
1,1916,3,53.8,Alabama
