state_code,year,month,value,country
1,1895,1,52.7,Alabama
1,1895,2,48.1,Alabama
1,1895,3,66.5,Alabama
1,1895,4,75.7,Alabama
1,1895,5,80.6,Alabama
1,1895,6,88.4,Alabama
1,1895,7,89.6,Alabama
1,1895,8,89.7,Alabama
1,1895,9,89.1,Alabama
1,1895,10,74.2,Alabama
1,1895,11,65.1,Alabama
1,1895,12,57.1,Alabama
1,1896,1,53.0,Alabama
1,1896,2,59.0,Alabama
1,1896,3,63.9,Alabama
1,1896,4,80.6,Alabama
1,1896,5,87.8,Alabama
1,1896,6,87.9,Alabama
1,1896,7,91.6,Alabama
1,1896,8,94.0,Alabama
1,1896,9,89.2,Alabama
1,1896,10,75.8,Alabama
1,1896,11,68.9,Alabama
1,1896,12,57.7,Alabama
1,1897,1,52.1,Alabama
1,1897,2,61.0,Alabama
1,1897,3,69.9,Alabama
1,1897,4,74.8,Alabama
1,1897,5,82.2,Alabama
1,1897,6,94.0,Alabama
1,1897,7,92.8,Alabama
1,1897,8,89.5,Alabama
1,1897,9,88.7,Alabama
1,1897,10,81.0,Alabama
1,1897,11,67.1,Alabama
1,1897,12,58.0,Alabama
1,1898,1,59.1,Alabama
1,1898,2,58.0,Alabama
1,1898,3,69.9,Alabama
1,1898,4,71.0,Alabama
1,1898,5,88.0,Alabama
1,1898,6,92.7,Alabama
1,1898,7,90.5,Alabama
1,1898,8,88.4,Alabama
1,1898,9,85.4,Alabama
1,1898,10,72.3,Alabama
1,1898,11,61.0,Alabama
1,1898,12,54.3,Alabama
1,1899,1,54.4,Alabama
1,1899,2,51.4,Alabama
1,1899,3,67.8,Alabama
1,1899,4,72.6,Alabama
1,1899,5,88.6,Alabama
1,1899,6,92.3,Alabama
1,1899,7,91.9,Alabama
1,1899,8,92.0,Alabama
1,1899,9,86.3,Alabama
1,1899,10,78.1,Alabama
1,1899,11,67.8,Alabama
1,1899,12,55.6,Alabama
1,1900,1,55.3,Alabama
1,1900,2,56.4,Alabama
1,1900,3,64.5,Alabama
1,1900,4,76.7,Alabama
1,1900,5,84.4,Alabama
1,1900,6,85.2,Alabama
1,1900,7,90.6,Alabama
1,1900,8,93.5,Alabama
1,1900,9,89.1,Alabama
1,1900,10,78.2,Alabama
1,1900,11,66.4,Alabama
1,1900,12,57.4,Alabama
1,1901,1,57.5,Alabama
1,1901,2,53.9,Alabama
1,1901,3,65.5,Alabama
1,1901,4,70.0,Alabama
1,1901,5,84.0,Alabama
1,1901,6,91.1,Alabama
1,1901,7,95.1,Alabama
1,1901,8,89.6,Alabama
1,1901,9,83.7,Alabama
1,1901,10,76.2,Alabama
1,1901,11,62.7,Alabama
1,1901,12,53.6,Alabama
1,1902,1,55.4,Alabama
1,1902,2,50.9,Alabama
1,1902,3,66.2,Alabama
1,1902,4,74.9,Alabama
1,1902,5,88.3,Alabama
1,1902,6,94.6,Alabama
1,1902,7,96.1,Alabama
1,1902,8,94.6,Alabama
1,1902,9,84.8,Alabama
1,1902,10,75.6,Alabama
1,1902,11,69.2,Alabama
1,1902,12,55.6,Alabama
1,1903,1,53.5,Alabama
1,1903,2,59.5,Alabama
1,1903,3,68.4,Alabama
1,1903,4,74.0,Alabama
1,1903,5,81.0,Alabama
1,1903,6,85.1,Alabama
1,1903,7,92.0,Alabama
1,1903,8,91.8,Alabama
1,1903,9,86.7,Alabama
1,1903,10,77.0,Alabama
1,1903,11,62.5,Alabama
1,1903,12,52.8,Alabama
1,1904,1,52.6,Alabama
1,1904,2,60.2,Alabama
1,1904,3,70.3,Alabama
1,1904,4,72.7,Alabama
1,1904,5,84.2,Alabama
1,1904,6,91.3,Alabama
1,1904,7,90.6,Alabama
1,1904,8,89.6,Alabama
1,1904,9,90.3,Alabama
1,1904,10,80.1,Alabama
1,1904,11,64.9,Alabama
1,1904,12,57.0,Alabama
1,1905,1,49.8,Alabama
1,1905,2,49.5,Alabama
1,1905,3,71.6,Alabama
1,1905,4,75.7,Alabama
1,1905,5,85.4,Alabama
1,1905,6,91.4,Alabama
1,1905,7,91.1,Alabama
1,1905,8,89.8,Alabama
1,1905,9,88.2,Alabama
1,1905,10,74.4,Alabama
1,1905,11,68.0,Alabama
1,1905,12,52.6,Alabama
1,1906,1,57.2,Alabama
1,1906,2,58.1,Alabama
1,1906,3,61.9,Alabama
1,1906,4,79.1,Alabama
1,1906,5,82.1,Alabama
1,1906,6,91.1,Alabama
1,1906,7,89.9,Alabama
1,1906,8,91.7,Alabama
1,1906,9,88.6,Alabama
1,1906,10,72.6,Alabama
1,1906,11,68.8,Alabama
1,1906,12,60.4,Alabama
1,1907,1,65.0,Alabama
1,1907,2,60.6,Alabama
1,1907,3,77.3,Alabama
1,1907,4,70.0,Alabama
1,1907,5,79.2,Alabama
1,1907,6,88.2,Alabama
1,1907,7,92.8,Alabama
1,1907,8,92.5,Alabama
1,1907,9,86.8,Alabama
1,1907,10,76.9,Alabama
1,1907,11,62.8,Alabama
1,1907,12,55.5,Alabama
1,1908,1,54.6,Alabama
1,1908,2,55.2,Alabama
1,1908,3,74.6,Alabama
1,1908,4,79.7,Alabama
1,1908,5,84.0,Alabama
1,1908,6,90.4,Alabama
1,1908,7,91.9,Alabama
1,1908,8,91.4,Alabama
1,1908,9,87.0,Alabama
1,1908,10,75.3,Alabama
1,1908,11,70.3,Alabama
1,1908,12,61.6,Alabama
1,1909,1,61.0,Alabama
1,1909,2,63.2,Alabama
1,1909,3,67.8,Alabama
1,1909,4,75.6,Alabama
1,1909,5,81.4,Alabama
1,1909,6,89.0,Alabama
1,1909,7,91.5,Alabama
1,1909,8,92.8,Alabama
1,1909,9,87.3,Alabama
1,1909,10,79.1,Alabama
1,1909,11,74.8,Alabama
1,1909,12,52.1,Alabama
1,1910,1,57.6,Alabama
1,1910,2,56.9,Alabama
1,1910,3,75.2,Alabama
1,1910,4,75.8,Alabama
1,1910,5,81.9,Alabama
1,1910,6,86.9,Alabama
1,1910,7,88.8,Alabama
1,1910,8,91.2,Alabama
1,1910,9,90.3,Alabama
1,1910,10,79.5,Alabama
1,1910,11,64.1,Alabama
1,1910,12,53.2,Alabama
1,1911,1,61.3,Alabama
1,1911,2,65.4,Alabama
1,1911,3,71.1,Alabama
1,1911,4,74.9,Alabama
1,1911,5,86.6,Alabama
1,1911,6,93.9,Alabama
1,1911,7,89.1,Alabama
1,1911,8,89.8,Alabama
1,1911,9,92.5,Alabama
1,1911,10,80.4,Alabama
1,1911,11,62.6,Alabama
1,1911,12,60.1,Alabama
1,1912,1,51.4,Alabama
1,1912,2,55.1,Alabama
1,1912,3,63.6,Alabama
1,1912,4,76.0,Alabama
1,1912,5,84.8,Alabama
1,1912,6,85.8,Alabama
1,1912,7,90.2,Alabama
1,1912,8,90.2,Alabama
1,1912,9,87.5,Alabama
1,1912,10,77.6,Alabama
1,1912,11,64.8,Alabama
1,1912,12,56.9,Alabama
1,1913,1,62.5,Alabama
1,1913,2,58.2,Alabama
1,1913,3,66.5,Alabama
1,1913,4,75.0,Alabama
1,1913,5,84.6,Alabama
1,1913,6,91.1,Alabama
1,1913,7,92.7,Alabama
1,1913,8,93.4,Alabama
1,1913,9,84.0,Alabama
1,1913,10,73.9,Alabama
1,1913,11,70.1,Alabama
1,1913,12,57.2,Alabama
1,1914,1,58.8,Alabama
1,1914,2,57.4,Alabama
1,1914,3,62.2,Alabama
1,1914,4,76.7,Alabama
1,1914,5,85.4,Alabama
1,1914,6,96.4,Alabama
1,1914,7,93.9,Alabama
1,1914,8,89.6,Alabama
1,1914,9,84.5,Alabama
1,1914,10,74.8,Alabama
1,1914,11,65.8,Alabama
1,1914,12,51.5,Alabama
1,1915,1,53.3,Alabama
1,1915,2,58.9,Alabama
1,1915,3,58.1,Alabama
1,1915,4,79.0,Alabama
1,1915,5,86.1,Alabama
1,1915,6,90.8,Alabama
1,1915,7,92.2,Alabama
1,1915,8,90.1,Alabama
