state_code,year,month,value,country
1,1895,1,33.4,Alabama
1,1895,2,26.8,Alabama
1,1895,3,42.4,Alabama
1,1895,4,51.2,Alabama
1,1895,5,58.4,Alabama
1,1895,6,66.5,Alabama
1,1895,7,68.8,Alabama
1,1895,8,69.3,Alabama
1,1895,9,66.4,Alabama
1,1895,10,45.2,Alabama
1,1895,11,41.4,Alabama
1,1895,12,32.7,Alabama
1,1896,1,34.0,Alabama
1,1896,2,36.4,Alabama
1,1896,3,41.2,Alabama
1,1896,4,55.6,Alabama
1,1896,5,63.9,Alabama
1,1896,6,66.9,Alabama
1,1896,7,70.7,Alabama
1,1896,8,70.4,Alabama
1,1896,9,62.6,Alabama
1,1896,10,50.6,Alabama
1,1896,11,45.8,Alabama
1,1896,12,35.1,Alabama
1,1897,1,31.4,Alabama
1,1897,2,41.2,Alabama
1,1897,3,50.4,Alabama
1,1897,4,50.1,Alabama
1,1897,5,55.9,Alabama
1,1897,6,68.3,Alabama
1,1897,7,70.2,Alabama
1,1897,8,68.1,Alabama
1,1897,9,62.5,Alabama
1,1897,10,53.1,Alabama
1,1897,11,41.4,Alabama
1,1897,12,36.9,Alabama
1,1898,1,38.8,Alabama
1,1898,2,34.2,Alabama
1,1898,3,48.5,Alabama
1,1898,4,46.4,Alabama
1,1898,5,60.2,Alabama
1,1898,6,68.0,Alabama
1,1898,7,69.6,Alabama
1,1898,8,69.2,Alabama
1,1898,9,65.1,Alabama
1,1898,10,49.6,Alabama
1,1898,11,38.7,Alabama
1,1898,12,32.5,Alabama
1,1899,1,33.1,Alabama
1,1899,2,28.6,Alabama
1,1899,3,43.5,Alabama
1,1899,4,50.8,Alabama
1,1899,5,63.6,Alabama
1,1899,6,67.6,Alabama
1,1899,7,68.9,Alabama
1,1899,8,69.9,Alabama
1,1899,9,59.4,Alabama
1,1899,10,54.0,Alabama
1,1899,11,42.8,Alabama
1,1899,12,33.8,Alabama
1,1900,1,31.9,Alabama
1,1900,2,32.4,Alabama
