Entity,Code,Year,Annual CO₂ emissions (per capita)
Luxembourg,LUX,1974,41.047718
Luxembourg,LUX,1973,40.59391
Luxembourg,LUX,1970,40.475006
Luxembourg,LUX,1972,38.988323
Luxembourg,LUX,1969,38.96762
Luxembourg,LUX,1971,38.581238
Luxembourg,LUX,1964,37.673428
Luxembourg,LUX,1965,36.971375
Luxembourg,LUX,1960,36.629093
Luxembourg,LUX,1961,36.580036
Luxembourg,LUX,1968,36.37062
Luxembourg,LUX,1962,36.08063
Luxembourg,LUX,1963,35.410664
Luxembourg,LUX,1957,35.089443
Luxembourg,LUX,1966,34.851803
Luxembourg,LUX,1967,33.82433
Luxembourg,LUX,1956,33.744488
Luxembourg,LUX,1975,33.544598
Luxembourg,LUX,1979,33.510323
Luxembourg,LUX,1959,33.341896
Luxembourg,LUX,1976,33.32911
Luxembourg,LUX,1978,32.90406
Luxembourg,LUX,1958,32.474606
Luxembourg,LUX,1955,32.35407
Luxembourg,LUX,1991,32.181065
Luxembourg,LUX,1952,31.331244
Luxembourg,LUX,1992,31.166605
Luxembourg,LUX,1993,31.136255
Luxembourg,LUX,1990,30.98945
Luxembourg,LUX,1977,30.574385
Luxembourg,LUX,1980,30.443203
Luxembourg,LUX,1951,30.210049
Luxembourg,LUX,1954,28.934362
Luxembourg,LUX,1994,28.71006
Luxembourg,LUX,1953,28.67729
Luxembourg,LUX,1989,26.120216
Luxembourg,LUX,1981,26.025719
Luxembourg,LUX,2005,25.984957
Luxembourg,LUX,2004,25.822998
Estonia,EST,1985,25.533901
Luxembourg,LUX,2006,25.213663
Estonia,EST,1986,25.21297
Luxembourg,LUX,1985,25.204838
Estonia,EST,1989,25.105328
Luxembourg,LUX,1950,25.014633
Estonia,EST,1987,24.893635
Luxembourg,LUX,1986,24.746542
Estonia,EST,1988,24.72691
Luxembourg,LUX,1984,24.616035
Luxembourg,LUX,1982,24.447992
Luxembourg,LUX,1988,24.367577
Estonia,EST,1980,23.909357
Estonia,EST,1984,23.822989
Luxembourg,LUX,1987,23.782467
Estonia,EST,1983,23.774874
Estonia,EST,1982,23.601559
Luxembourg,LUX,2007,23.562086
Estonia,EST,1990,23.50555
Estonia,EST,1981,23.3139
Luxembourg,LUX,2003,23.15829
Estonia,EST,1979,23.13259
Estonia,EST,1978,23.098408
Luxembourg,LUX,1983,22.887058
Luxembourg,LUX,2008,22.86432
Estonia,EST,1977,22.515785
Luxembourg,LUX,1995,22.460876
Luxembourg,LUX,2002,22.382103
Luxembourg,LUX,1996,22.283075
Luxembourg,LUX,2010,22.082712
Estonia,EST,1976,21.954182
Estonia,EST,1991,21.81062
Luxembourg,LUX,2011,21.424578
Luxembourg,LUX,2009,21.3514
Estonia,EST,1975,21.309103
Luxembourg,LUX,2001,20.862108
Luxembourg,LUX,2012,20.490171
Luxembourg,LUX,1997,20.467562
Estonia,EST,1974,20.4378
Luxembourg,LUX,2000,19.9792
Estonia,EST,1973,19.855669
Estonia,EST,1972,19.214262
Luxembourg,LUX,2013,19.037624
Luxembourg,LUX,1999,18.90661
Estonia,EST,1971,18.427761
Luxembourg,LUX,1998,18.091682
Luxembourg,LUX,2014,17.665773
Estonia,EST,1970,17.526083
Estonia,EST,1969,16.823967
Luxembourg,LUX,2015,16.42211
Estonia,EST,1968,16.331999
Estonia,EST,1967,16.062656
Estonia,EST,1992,15.853843
Luxembourg,LUX,2019,15.757939
Luxembourg,LUX,2018,15.748627
Luxembourg,LUX,2016,15.58947
Luxembourg,LUX,2017,15.542759
Estonia,EST,1966,15.527423
Estonia,EST,2013,14.917028
Estonia,EST,2007,14.875755
Estonia,EST,1965,14.860375
Germany,DEU,1979,14.347402
Estonia,EST,2014,14.323191
Estonia,EST,2011,14.280438
Belgium,BEL,1973,14.251578
Estonia,EST,2010,14.250807
Denmark,DNK,1996,14.250308
Belgium,BEL,1979,14.243389
Estonia,EST,2017,14.222141
Estonia,EST,1964,14.169675
Germany,DEU,1980,14.142085
Finland,FIN,2003,13.937104
Germany,DEU,1976,13.920135
Belgium,BEL,1974,13.842366
Germany,DEU,1978,13.822353
Belgium,BEL,1978,13.821169
Germany,DEU,1973,13.801618
Belgium,BEL,1980,13.718175
Estonia,EST,1994,13.583166
Estonia,EST,2018,13.527124
Germany,DEU,1974,13.517167
Germany,DEU,1981,13.497203
Germany,DEU,1969,13.485031
Estonia,EST,1963,13.481816
Belgium,BEL,1972,13.467393
Germany,DEU,1986,13.46307
Germany,DEU,1977,13.456805
Germany,DEU,1985,13.448401
Estonia,EST,2012,13.4361725
Estonia,EST,2008,13.329997
Germany,DEU,1984,13.320402
Netherlands,NLD,1979,13.31932
