time_period,geo,indic_is,ind_type,obs_value
2019,Albania,Individuals with above basic overall digital skills,All individuals,7.33
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 16 to 19 years old",22.5
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 16 to 24 years old",22.22
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 16 to 29 years old",20.76
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 20 to 24 years old",22.0
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 25 to 29 years old",18.21
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 25 to 34 years old",12.54
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 25 to 54 years old",5.87
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 25 to 64 years old",4.5
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 35 to 44 years old",2.12
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 45 to 54 years old",1.36
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 55 to 64 years old",0.46
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 55 to 74 years old",0.32
2019,Albania,Individuals with above basic overall digital skills,"Individuals, 65 to 74 years old",0.09
2019,Albania,Individuals with basic overall digital skills,All individuals,14.15
2019,Albania,Individuals with basic overall digital skills,"Individuals, 16 to 19 years old",23.78
2019,Albania,Individuals with basic overall digital skills,"Individuals, 16 to 24 years old",23.76
2019,Albania,Individuals with basic overall digital skills,"Individuals, 16 to 29 years old",22.38
2019,Albania,Individuals with basic overall digital skills,"Individuals, 20 to 24 years old",23.74
2019,Albania,Individuals with basic overall digital skills,"Individuals, 25 to 29 years old",19.97
2019,Albania,Individuals with basic overall digital skills,"Individuals, 25 to 34 years old",21.24
2019,Albania,Individuals with basic overall digital skills,"Individuals, 25 to 54 years old",16.09
2019,Albania,Individuals with basic overall digital skills,"Individuals, 25 to 64 years old",13.4
2019,Albania,Individuals with basic overall digital skills,"Individuals, 35 to 44 years old",17.11
2019,Albania,Individuals with basic overall digital skills,"Individuals, 45 to 54 years old",9.1
2019,Albania,Individuals with basic overall digital skills,"Individuals, 55 to 64 years old",5.51
2019,Albania,Individuals with basic overall digital skills,"Individuals, 55 to 74 years old",4.39
2019,Albania,Individuals with basic overall digital skills,"Individuals, 65 to 74 years old",2.58
2019,Albania,Individuals with basic or above basic overall digital skills,All individuals,21.48
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 19 years old",46.28
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 24 years old",45.97
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 29 years old",43.14
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 20 to 24 years old",45.73
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 29 years old",38.19
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 34 years old",33.77
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 54 years old",21.95
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 64 years old",17.9
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 35 to 44 years old",19.23
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 45 to 54 years old",10.46
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 64 years old",5.97
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 74 years old",4.71
2019,Albania,Individuals with basic or above basic overall digital skills,"Individuals, 65 to 74 years old",2.67
2019,Albania,Individuals with low overall digital skills,All individuals,46.71
2019,Albania,Individuals with low overall digital skills,"Individuals, 16 to 19 years old",47.4
2019,Albania,Individuals with low overall digital skills,"Individuals, 16 to 24 years old",48.15
2019,Albania,Individuals with low overall digital skills,"Individuals, 16 to 29 years old",49.63
2019,Albania,Individuals with low overall digital skills,"Individuals, 20 to 24 years old",48.73
2019,Albania,Individuals with low overall digital skills,"Individuals, 25 to 29 years old",52.22
2019,Albania,Individuals with low overall digital skills,"Individuals, 25 to 34 years old",54.77
2019,Albania,Individuals with low overall digital skills,"Individuals, 25 to 54 years old",53.39
2019,Albania,Individuals with low overall digital skills,"Individuals, 25 to 64 years old",49.35
2019,Albania,Individuals with low overall digital skills,"Individuals, 35 to 44 years old",58.0
2019,Albania,Individuals with low overall digital skills,"Individuals, 45 to 54 years old",47.62
2019,Albania,Individuals with low overall digital skills,"Individuals, 55 to 64 years old",37.47
2019,Albania,Individuals with low overall digital skills,"Individuals, 55 to 74 years old",33.64
2019,Albania,Individuals with low overall digital skills,"Individuals, 65 to 74 years old",27.44
2019,Albania,Individuals with no overall digital skills,All individuals,0.37
2019,Albania,Individuals with no overall digital skills,"Individuals, 16 to 19 years old",0.0
2019,Albania,Individuals with no overall digital skills,"Individuals, 16 to 24 years old",0.0
2019,Albania,Individuals with no overall digital skills,"Individuals, 16 to 29 years old",0.0
2019,Albania,Individuals with no overall digital skills,"Individuals, 20 to 24 years old",0.0
2019,Albania,Individuals with no overall digital skills,"Individuals, 25 to 29 years old",0.0
2019,Albania,Individuals with no overall digital skills,"Individuals, 25 to 34 years old",0.42
2019,Albania,Individuals with no overall digital skills,"Individuals, 25 to 54 years old",0.58
2019,Albania,Individuals with no overall digital skills,"Individuals, 25 to 64 years old",0.49
2019,Albania,Individuals with no overall digital skills,"Individuals, 35 to 44 years old",0.71
2019,Albania,Individuals with no overall digital skills,"Individuals, 45 to 54 years old",0.64
2019,Albania,Individuals with no overall digital skills,"Individuals, 55 to 64 years old",0.24
2019,Albania,Individuals with no overall digital skills,"Individuals, 55 to 74 years old",0.22
2019,Albania,Individuals with no overall digital skills,"Individuals, 65 to 74 years old",0.18
2019,Austria,Individuals with above basic overall digital skills,All individuals,39.22
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 16 to 19 years old",76.38
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 16 to 24 years old",70.52
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 16 to 29 years old",68.2
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 20 to 24 years old",66.65
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 25 to 29 years old",64.86
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 25 to 34 years old",58.61
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 25 to 54 years old",45.52
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 25 to 64 years old",38.89
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 35 to 44 years old",48.18
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 45 to 54 years old",31.66
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 55 to 64 years old",18.74
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 55 to 74 years old",14.78
2019,Austria,Individuals with above basic overall digital skills,"Individuals, 65 to 74 years old",8.96
2019,Austria,Individuals with basic overall digital skills,All individuals,26.33
2019,Austria,Individuals with basic overall digital skills,"Individuals, 16 to 19 years old",15.72
2019,Austria,Individuals with basic overall digital skills,"Individuals, 16 to 24 years old",18.63
2019,Austria,Individuals with basic overall digital skills,"Individuals, 16 to 29 years old",19.97
2019,Austria,Individuals with basic overall digital skills,"Individuals, 20 to 24 years old",20.55
2019,Austria,Individuals with basic overall digital skills,"Individuals, 25 to 29 years old",21.89
2019,Austria,Individuals with basic overall digital skills,"Individuals, 25 to 34 years old",25.48
2019,Austria,Individuals with basic overall digital skills,"Individuals, 25 to 54 years old",28.59
2019,Austria,Individuals with basic overall digital skills,"Individuals, 25 to 64 years old",29.02
2019,Austria,Individuals with basic overall digital skills,"Individuals, 35 to 44 years old",28.14
2019,Austria,Individuals with basic overall digital skills,"Individuals, 45 to 54 years old",31.72
2019,Austria,Individuals with basic overall digital skills,"Individuals, 55 to 64 years old",30.33
2019,Austria,Individuals with basic overall digital skills,"Individuals, 55 to 74 years old",25.45
2019,Austria,Individuals with basic overall digital skills,"Individuals, 65 to 74 years old",18.28
2019,Austria,Individuals with basic or above basic overall digital skills,All individuals,65.55
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 19 years old",92.1
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 24 years old",89.15
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 29 years old",88.17
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 20 to 24 years old",87.21
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 29 years old",86.75
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 34 years old",84.09
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 54 years old",74.11
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 64 years old",67.91
2019,Austria,Individuals with basic or above basic overall digital skills,"Individuals, 35 to 44 years old",76.32
