Country,Year,percentage_of_individual
Albania,2018,3.39
Albania,2019,5.21
Albania,2020,5.63
Albania,2021,9.55
Albania,2022,13.59
Albania,2023,16.33
Austria,2010,31.71
Austria,2011,35.21
Austria,2012,38.81
Austria,2013,45.75
Austria,2014,43.39
Austria,2015,46.35
Austria,2016,47.67
Austria,2017,53.17
Austria,2018,52.67
Austria,2019,54.43
Austria,2020,55.58
Austria,2021,54.16
Austria,2022,56.82
Austria,2023,62.41
Austria,2024,64.07
Belgium,2010,26.89
Belgium,2011,31.05
Belgium,2012,32.94
Belgium,2013,35.75
Belgium,2014,40.92
Belgium,2015,42.27
Belgium,2016,46.35
Belgium,2017,48.55
Belgium,2018,49.02
Belgium,2019,54.61
Belgium,2020,64.64
Belgium,2021,66.13
Belgium,2022,62.6
Belgium,2023,64.97
Belgium,2024,65.67
Bosnia and Herzegovina,2018,13.73
Bosnia and Herzegovina,2019,18.08
Bosnia and Herzegovina,2020,17.99
Bosnia and Herzegovina,2021,20.72
Bosnia and Herzegovina,2023,25.52
Bosnia and Herzegovina,2024,34.78
Bulgaria,2010,3.24
Bulgaria,2011,4.56
Bulgaria,2012,5.57
Bulgaria,2013,7.8
Bulgaria,2014,10.03
Bulgaria,2015,11.79
Bulgaria,2016,11.23
Bulgaria,2017,11.27
Bulgaria,2018,12.95
Bulgaria,2019,14.05
Bulgaria,2020,15.61
Bulgaria,2021,19.58
Bulgaria,2022,23.92
Bulgaria,2023,26.94
Bulgaria,2024,33.34
Croatia,2010,9.34
Croatia,2011,11.36
Croatia,2012,16.04
Croatia,2013,18.73
Croatia,2014,21.59
Croatia,2015,26.35
Croatia,2016,25.42
Croatia,2017,20.75
Croatia,2018,27.03
Croatia,2019,34.97
Croatia,2020,45.81
Croatia,2021,45.71
Croatia,2022,44.4
Croatia,2023,49.93
Croatia,2024,52.48
Cyprus,2010,14.09
Cyprus,2011,15.7
Cyprus,2012,17.22
Cyprus,2013,19.85
Cyprus,2014,23.06
Cyprus,2015,18.64
Cyprus,2016,22.14
Cyprus,2017,24.43
Cyprus,2018,19.7
Cyprus,2019,31.13
Cyprus,2020,31.11
Cyprus,2021,43.82
Cyprus,2022,33.67
Cyprus,2023,50.57
Cyprus,2024,60.26
Czechia,2010,14.66
Czechia,2011,16.02
Czechia,2012,17.74
Czechia,2013,21.48
Czechia,2014,25.34
Czechia,2015,26.07
Czechia,2016,29.0
Czechia,2017,34.1
Czechia,2018,37.36
Czechia,2019,42.56
Czechia,2020,58.75
Czechia,2021,62.74
Czechia,2022,66.35
Czechia,2023,69.07
Czechia,2024,74.38
Denmark,2010,53.97
Denmark,2011,57.26
Denmark,2012,60.41
Denmark,2013,65.0
Denmark,2014,66.4
Denmark,2015,67.34
Denmark,2016,71.12
