Reason,Country,Year,Value
"access costs are too high (telephone, etc.)",Austria,2011,2.51
broadband is not available in the area,Austria,2011,0.3
access elsewhere,Austria,2011,2.85
equipment costs are too high,Austria,2011,2.78
"access not needed (content is not useful, interesting, etc.)",Austria,2011,18.36
other reasons,Austria,2011,0.78
privacy or security concerns,Austria,2011,2.06
lack of skills,Austria,2011,7.84
"access costs are too high (telephone, etc.)",Belgium,2011,5.25
broadband is not available in the area,Belgium,2011,0.19
access elsewhere,Belgium,2011,3.09
equipment costs are too high,Belgium,2011,5.97
"access not needed (content is not useful, interesting, etc.)",Belgium,2011,9.51
other reasons,Belgium,2011,1.79
privacy or security concerns,Belgium,2011,1.36
lack of skills,Belgium,2011,5.28
"access costs are too high (telephone, etc.)",Bulgaria,2011,9.17
broadband is not available in the area,Bulgaria,2011,0.52
access elsewhere,Bulgaria,2011,2.78
equipment costs are too high,Bulgaria,2011,13.25
"access not needed (content is not useful, interesting, etc.)",Bulgaria,2011,16.13
other reasons,Bulgaria,2011,14.81
privacy or security concerns,Bulgaria,2011,4.36
lack of skills,Bulgaria,2011,16.44
"access costs are too high (telephone, etc.)",Croatia,2011,5.51
broadband is not available in the area,Croatia,2011,1.02
access elsewhere,Croatia,2011,2.3
equipment costs are too high,Croatia,2011,5.41
"access not needed (content is not useful, interesting, etc.)",Croatia,2011,25.25
other reasons,Croatia,2011,1.54
privacy or security concerns,Croatia,2011,0.14
lack of skills,Croatia,2011,3.42
"access costs are too high (telephone, etc.)",Cyprus,2011,9.86
broadband is not available in the area,Cyprus,2011,0.34
access elsewhere,Cyprus,2011,6.15
equipment costs are too high,Cyprus,2011,9.97
"access not needed (content is not useful, interesting, etc.)",Cyprus,2011,19.37
other reasons,Cyprus,2011,1.24
privacy or security concerns,Cyprus,2011,2.04
lack of skills,Cyprus,2011,27.23
"access costs are too high (telephone, etc.)",Denmark,2011,0.46
broadband is not available in the area,Denmark,2011,0.03
access elsewhere,Denmark,2011,0.58
equipment costs are too high,Denmark,2011,1.12
"access not needed (content is not useful, interesting, etc.)",Denmark,2011,5.28
other reasons,Denmark,2011,0.96
privacy or security concerns,Denmark,2011,0.24
lack of skills,Denmark,2011,1.72
"access costs are too high (telephone, etc.)",EU-27(from 2020),2011,6.58
broadband is not available in the area,EU-27(from 2020),2011,0.88
access elsewhere,EU-27(from 2020),2011,3.98
equipment costs are too high,EU-27(from 2020),2011,7.3
"access not needed (content is not useful, interesting, etc.)",EU-27(from 2020),2011,12.78
other reasons,EU-27(from 2020),2011,2.83
privacy or security concerns,EU-27(from 2020),2011,2.15
lack of skills,EU-27(from 2020),2011,9.69
"access costs are too high (telephone, etc.)",EU-28(2013-2020),2011,6.13
broadband is not available in the area,EU-28(2013-2020),2011,0.79
access elsewhere,EU-28(2013-2020),2011,3.73
equipment costs are too high,EU-28(2013-2020),2011,6.92
"access not needed (content is not useful, interesting, etc.)",EU-28(2013-2020),2011,12.15
other reasons,EU-28(2013-2020),2011,2.83
privacy or security concerns,EU-28(2013-2020),2011,2.01
lack of skills,EU-28(2013-2020),2011,8.92
"access costs are too high (telephone, etc.)",Estonia,2011,17.39
broadband is not available in the area,Estonia,2011,1.84
access elsewhere,Estonia,2011,6.73
equipment costs are too high,Estonia,2011,19.39
"access not needed (content is not useful, interesting, etc.)",Estonia,2011,16.29
other reasons,Estonia,2011,0.36
privacy or security concerns,Estonia,2011,2.7
lack of skills,Estonia,2011,20.11
"access costs are too high (telephone, etc.)",Finland,2011,3.52
broadband is not available in the area,Finland,2011,1.81
access elsewhere,Finland,2011,4.16
equipment costs are too high,Finland,2011,4.95
"access not needed (content is not useful, interesting, etc.)",Finland,2011,9.88
other reasons,Finland,2011,1.8
privacy or security concerns,Finland,2011,4.12
lack of skills,Finland,2011,7.39
"access costs are too high (telephone, etc.)",France,2011,7.52
broadband is not available in the area,France,2011,0.86
access elsewhere,France,2011,3.19
equipment costs are too high,France,2011,7.48
"access not needed (content is not useful, interesting, etc.)",France,2011,5.72
other reasons,France,2011,7.06
privacy or security concerns,France,2011,3.89
lack of skills,France,2011,7.17
"access costs are too high (telephone, etc.)",Germany,2011,3.99
broadband is not available in the area,Germany,2011,0.76
access elsewhere,Germany,2011,3.63
equipment costs are too high,Germany,2011,4.49
"access not needed (content is not useful, interesting, etc.)",Germany,2011,10.41
other reasons,Germany,2011,0.15
privacy or security concerns,Germany,2011,2.92
lack of skills,Germany,2011,5.03
"access costs are too high (telephone, etc.)",Greece,2011,6.11
broadband is not available in the area,Greece,2011,0.56
access elsewhere,Greece,2011,3.9
equipment costs are too high,Greece,2011,6.1
"access not needed (content is not useful, interesting, etc.)",Greece,2011,17.22
other reasons,Greece,2011,9.81
privacy or security concerns,Greece,2011,1.33
lack of skills,Greece,2011,17.25
"access costs are too high (telephone, etc.)",Hungary,2011,15.35
broadband is not available in the area,Hungary,2011,0.84
access elsewhere,Hungary,2011,8.33
equipment costs are too high,Hungary,2011,18.54
"access not needed (content is not useful, interesting, etc.)",Hungary,2011,19.99
